venue,base,n_windows,bid_500_min,bid_500_med,bid_500_max,bid_500_winok,bid_1000_min,bid_1000_med,bid_1000_max,bid_1000_winok,bid_2500_min,bid_2500_med,bid_2500_max,bid_2500_winok,bid_5000_min,bid_5000_med,bid_5000_max,bid_5000_winok,bid_10000_min,bid_10000_med,bid_10000_max,bid_10000_winok,bid_25000_min,bid_25000_med,bid_25000_max,bid_25000_winok,ask_500_min,ask_500_med,ask_500_max,ask_500_winok,ask_1000_min,ask_1000_med,ask_1000_max,ask_1000_winok,ask_2500_min,ask_2500_med,ask_2500_max,ask_2500_winok,ask_5000_min,ask_5000_med,ask_5000_max,ask_5000_winok,ask_10000_min,ask_10000_med,ask_10000_max,ask_10000_winok,ask_25000_min,ask_25000_med,ask_25000_max,ask_25000_winok,spread_med,spread_max
bybit,MAGMA,9,1.54,5.73,11.54,9,2.6,8.05,15.01,9,5.51,14.26,21.44,9,8.94,22.23,32.82,6,17.46,41.28,65.08,4,38.55,77.77,121.21,0,3.11,4.67,11.96,9,4.36,6.67,15.4,9,5.52,12.19,24.35,9,8.95,20.08,34.89,7,15.31,35.28,66.49,3,30.26,62.85,189.97,0,4.29,8.64
bybit,ONDO,9,1.44,1.47,1.49,9,1.44,1.47,2.87,9,1.46,1.47,3.77,9,1.46,1.49,4.07,9,2.1,2.87,4.48,9,3.48,4.78,6.13,9,1.44,1.47,3.82,9,1.44,1.47,4.11,9,1.44,1.48,4.29,9,1.46,1.77,4.34,9,2.35,3.08,4.37,9,3.57,4.01,5.44,9,2.93,2.97
bybit,POWER,9,11.12,14.74,16.53,9,15.09,20.2,32.77,7,35.14,41.57,105.27,0,46.43,88.15,237.82,0,51.69,166.21,348.52,0,146.31,290.97,443.04,0,11.1,13.56,19.4,9,16.36,23.7,27.41,5,36.9,42.8,54.74,0,51.78,72.49,106.75,0,74.13,186.69,219.73,0,189.33,250.43,275.6,0,11.67,22.4
bybit,RIVER,9,4.05,8.45,10.72,9,7.35,12.3,13.5,9,18.27,20.33,22.56,9,30.61,34.83,36.57,0,57.84,66.93,72.98,0,127.63,142.99,177.56,0,3.93,8.22,11.01,9,7.58,12.9,13.99,9,16.03,20.24,25.96,7,26.74,32.76,40.19,0,41.38,56.86,81.39,0,55.38,152.31,213.92,0,7.6,8.1
bybit,RUNE,9,5.71,7.91,11.2,9,6.89,12.43,15.99,9,9.29,17.98,26.83,7,18.51,27.84,36.22,3,33.49,36.26,42.44,0,41.54,43.52,47.13,0,2.08,8.89,10.73,9,3.21,12.47,14.9,9,11.88,18.95,24.09,9,23.67,30.28,33.14,1,34.69,38.02,39.88,0,39.8,43.38,44.91,0,6.26,8.59
bybit,TAO,9,0.23,0.83,1.6,9,0.23,1.11,1.96,9,0.41,1.87,2.66,9,1.63,2.53,3.49,9,3.01,3.51,4.71,9,5.12,5.68,7.42,9,0.23,0.56,1.89,9,0.23,0.99,2.16,9,1.05,1.79,2.75,9,1.73,2.64,3.15,9,2.37,3.4,4.43,9,3.98,5.06,5.77,9,0.46,0.46
bybit,UAI,9,4.29,5.51,9.69,9,5.9,6.86,13.95,9,7.53,10.26,27.59,8,12.72,18.54,51.16,6,21.88,27.4,88.11,4,38.01,43.97,164.16,0,4.26,5.94,8.39,9,5.66,8.38,12.12,9,9.11,13.5,22.62,9,12.65,21.38,42.75,6,17.1,33.67,79.59,2,35.51,48.02,257.89,0,4.05,6.05
bybit,USELESS,9,2.67,3.73,6.67,9,3.65,5.36,8.31,9,5.85,7.36,10.06,9,7.73,9.44,12.19,9,9.72,12.54,15.77,9,16.71,20.77,25.19,8,2.98,4.35,5.98,9,4.19,5.81,7.19,9,5.51,7.42,8.88,9,8.0,9.36,11.1,9,10.2,12.82,13.7,9,16.17,21.49,23.03,9,4.08,6.0
bybit,WIF,9,2.54,2.69,5.0,9,2.54,5.11,6.25,9,4.5,6.56,7.04,9,6.06,7.04,7.39,9,6.83,7.48,8.54,9,9.94,11.12,12.83,9,2.5,2.59,5.88,9,2.5,4.83,6.74,9,2.62,6.49,7.26,9,4.96,7.05,7.43,9,6.41,7.34,8.6,9,8.5,9.88,12.29,9,5.08,5.24
bybit,XMR,9,0.1,2.47,4.13,9,0.65,3.53,5.18,9,1.63,4.88,6.19,9,2.33,6.21,8.1,9,4.76,8.12,9.85,9,7.55,11.67,13.47,9,0.75,2.55,3.09,9,1.16,3.13,4.08,9,3.43,4.56,5.93,9,5.74,6.71,7.24,9,7.54,7.8,9.98,9,10.35,11.48,15.55,9,1.57,3.77
bybit,ZEN,9,4.41,5.86,6.4,9,6.21,7.96,9.6,9,8.14,13.7,17.12,9,13.8,23.58,29.47,5,28.97,37.91,45.95,0,61.09,93.78,108.53,0,4.67,6.44,8.99,9,6.29,8.86,11.72,9,11.13,15.19,18.36,9,18.9,26.55,29.8,4,25.97,39.79,44.42,0,50.92,76.75,88.33,0,3.74,8.83
bybit,ZRO,9,1.29,3.83,6.03,9,1.88,5.24,7.6,9,2.25,7.18,9.23,9,2.47,8.58,10.84,9,6.09,11.79,13.86,9,12.39,19.9,28.24,7,1.18,2.67,5.64,9,1.59,3.71,7.74,9,4.06,6.1,9.42,9,5.55,8.32,11.6,9,7.08,12.02,15.99,9,13.03,21.02,31.93,6,1.95,2.0
dydx,FIL,9,23.18,27.23,97.38,3,23.18,27.23,97.38,3,23.18,27.23,97.38,3,24.0,28.0,97.38,2,24.0,30.44,97.38,2,33.49,68.81,137.55,0,23.18,28.0,97.38,3,23.18,28.0,97.38,3,23.18,28.0,97.38,3,23.18,30.44,97.38,3,23.19,30.44,97.38,3,34.89,58.99,122.12,0,54.46,194.76
dydx,ICP,9,17.16,26.94,70.12,2,17.16,26.94,70.74,2,17.16,26.94,87.24,2,17.16,26.94,94.25,2,18.57,26.94,98.6,1,27.66,42.15,118.18,0,17.16,26.94,67.4,2,17.16,26.94,67.4,2,17.16,26.94,67.4,2,17.16,26.94,67.4,2,17.16,28.99,67.4,2,20.1,41.68,119.19,1,53.88,134.8
dydx,LDO,9,24.62,33.14,72.77,1,24.62,33.14,72.77,1,24.62,33.14,72.77,1,24.62,33.14,72.77,1,26.0,35.48,72.77,0,45.72,59.27,104.68,0,24.62,33.14,72.77,1,24.62,33.14,72.77,1,24.62,33.14,72.77,1,24.62,33.14,72.77,1,24.64,35.48,72.77,1,45.18,59.24,147.29,0,66.28,145.54
dydx,MORPHO,9,44.98,50.11,1698.85,0,44.98,50.11,1843.23,0,1113.93,1178.56,1929.86,0,1526.6,1559.19,2263.92,0,1732.93,1749.52,2453.92,0,1855.06,1868.43,2567.93,0,44.98,50.11,1541.44,0,50.67,55.59,1717.66,0,916.31,1182.47,1823.39,0,916.31,1575.07,1858.64,0,916.31,1764.98,1876.26,0,916.31,1878.92,1894.79,0,100.22,1832.61
dydx,ONDO,9,36.53,40.94,192.42,0,36.53,40.94,223.33,0,36.53,40.94,241.88,0,36.53,40.94,248.07,0,36.53,49.66,251.16,0,54.92,62.38,253.01,0,36.53,40.94,82.81,0,36.53,40.94,82.81,0,36.53,40.94,82.81,0,36.53,40.94,82.81,0,37.68,46.03,82.81,0,48.49,61.2,82.81,0,81.87,159.95
dydx,RUNE,9,34.31,36.38,157.78,0,34.31,36.38,157.78,0,34.31,36.38,157.78,0,36.05,37.02,157.78,0,38.35,42.12,157.78,0,58.12,67.3,157.78,0,34.31,36.38,157.78,0,34.31,36.38,157.78,0,34.31,36.38,157.78,0,34.78,39.23,157.78,0,35.59,40.85,157.78,0,57.16,62.74,157.78,0,72.76,315.57
dydx,SPX,9,28.04,587.73,1001.34,0,43.1,703.25,1222.94,0,278.51,767.77,1356.79,0,283.85,790.9,1401.41,0,488.03,802.6,1423.71,0,771.28,821.93,1437.1,0,18.01,354.48,613.84,1,18.73,354.48,613.84,1,19.16,354.48,613.84,1,19.31,354.48,613.84,1,19.38,354.48,613.84,1,19.42,354.48,613.84,1,708.95,1227.68
dydx,TAO,9,16.33,22.32,45.05,7,16.33,22.32,45.05,7,16.33,22.32,45.05,7,16.33,22.32,45.05,7,17.67,23.91,45.05,7,24.38,28.92,45.05,1,16.33,22.32,45.05,7,16.33,22.32,45.05,7,16.33,22.32,45.05,7,16.33,22.32,45.05,7,16.33,22.32,45.05,6,16.33,25.97,45.05,4,44.63,90.11
dydx,WIF,9,18.86,26.65,72.09,4,18.86,26.65,72.09,4,18.86,26.7,72.09,4,18.86,26.86,72.09,4,18.86,27.32,72.27,4,27.89,32.51,128.15,0,18.86,26.65,72.09,4,18.86,26.65,72.09,4,18.86,26.65,72.09,4,18.86,26.65,72.09,4,19.56,26.67,72.09,4,23.45,32.26,108.97,1,53.29,144.18
dydx,XMR,9,13.99,92.67,354.65,1,22.7,92.67,379.71,1,134.13,207.4,394.75,0,178.84,267.2,460.78,0,196.18,298.13,499.08,0,207.18,310.58,522.07,0,14.59,92.67,165.26,1,38.73,102.88,170.33,0,91.27,116.51,325.36,0,91.27,120.41,386.71,0,91.27,129.23,417.39,0,91.27,130.35,435.8,0,185.34,329.57
dydx,ZEC,9,15.58,21.85,24.92,9,15.85,22.55,25.26,8,20.32,29.54,48.99,3,20.32,32.98,56.89,3,25.45,36.64,60.83,0,40.37,49.97,63.2,0,15.58,21.85,24.92,9,15.58,21.85,24.92,9,15.58,21.85,24.92,9,15.58,21.85,24.92,9,15.6,21.85,24.92,9,21.92,24.15,24.92,9,43.69,49.85
dydx,ZEN,9,38.92,50.09,1512.88,0,38.92,50.09,1611.16,0,335.33,377.88,1670.13,0,335.33,491.15,1689.78,0,335.33,547.17,1724.14,0,335.33,580.79,1843.38,0,38.92,50.09,574.86,0,42.2,51.77,574.86,0,373.4,522.11,1476.5,0,483.51,574.86,1879.54,0,538.57,574.86,1930.64,0,570.96,574.86,1937.94,0,100.19,1149.72
dydx,ZRO,9,29.91,40.08,220.01,0,29.91,40.08,242.49,0,29.91,40.08,279.31,0,38.26,48.16,471.67,0,46.16,58.19,736.33,0,131.59,175.02,895.12,0,29.91,40.08,214.73,0,29.91,40.08,239.85,0,29.91,40.08,277.23,0,44.84,48.52,471.99,0,58.57,60.14,736.48,0,160.06,195.18,895.18,0,80.16,333.66
hl,ONDO,9,0.15,0.59,1.64,9,0.15,0.59,1.74,9,0.31,1.03,1.99,9,0.76,1.92,2.3,9,1.74,2.6,3.31,9,3.3,4.24,5.22,9,0.19,0.73,1.31,9,0.37,0.81,1.31,9,0.54,1.28,2.1,9,1.32,1.67,3.23,9,1.54,2.63,4.34,9,1.86,4.2,5.58,9,0.88,2.62
okx,USELESS,9,4.3,6.82,11.64,9,6.32,8.92,15.81,9,10.82,14.85,26.91,8,17.97,24.65,37.84,5,31.76,39.8,54.46,0,62.29,88.19,113.24,0,4.54,6.25,7.71,9,6.79,8.38,11.57,9,11.81,14.06,19.92,9,18.44,22.52,29.0,8,30.74,37.51,42.95,0,62.63,86.97,121.14,0,2.94,4.87
