venue,base,n_windows,bid_500_min,bid_500_med,bid_500_max,bid_500_winok,bid_1000_min,bid_1000_med,bid_1000_max,bid_1000_winok,bid_2500_min,bid_2500_med,bid_2500_max,bid_2500_winok,bid_5000_min,bid_5000_med,bid_5000_max,bid_5000_winok,bid_10000_min,bid_10000_med,bid_10000_max,bid_10000_winok,bid_25000_min,bid_25000_med,bid_25000_max,bid_25000_winok,ask_500_min,ask_500_med,ask_500_max,ask_500_winok,ask_1000_min,ask_1000_med,ask_1000_max,ask_1000_winok,ask_2500_min,ask_2500_med,ask_2500_max,ask_2500_winok,ask_5000_min,ask_5000_med,ask_5000_max,ask_5000_winok,ask_10000_min,ask_10000_med,ask_10000_max,ask_10000_winok,ask_25000_min,ask_25000_med,ask_25000_max,ask_25000_winok,spread_med,spread_max
aster,UAI,9,3.97,5.79,8.28,9,3.97,6.07,8.56,9,4.03,7.04,9.81,9,4.53,9.01,14.06,9,7.57,12.56,19.18,9,16.76,22.58,25.64,7,1.85,8.05,12.04,9,1.85,8.05,13.14,9,5.04,10.18,13.8,9,8.43,12.45,18.63,9,10.24,17.2,26.13,8,23.63,27.27,53.42,3,11.57,16.56
aster,USELESS,9,5.59,7.11,10.48,9,5.59,7.11,10.57,9,7.95,9.35,10.93,9,9.8,11.84,15.87,9,14.5,17.07,21.12,9,18.61,27.34,53.39,3,6.61,8.37,12.42,9,7.67,8.93,13.97,9,9.34,10.53,20.89,9,11.99,14.47,28.96,8,15.53,20.67,45.01,6,33.12,68.23,156.5,0,14.22,20.46
aster,WIF,9,7.59,12.53,15.22,9,7.59,12.54,15.22,9,7.59,12.81,15.48,9,9.11,15.48,18.54,9,12.96,17.45,21.48,9,22.52,29.71,54.88,2,7.59,12.53,15.22,9,7.59,12.53,16.83,9,10.33,15.69,21.38,9,10.73,19.6,24.99,9,12.69,32.58,50.14,4,39.69,116.3,139.48,0,25.07,30.44
aster,XMR,9,0.79,2.45,3.5,9,1.16,2.47,3.52,9,2.02,3.02,5.44,9,2.64,4.29,6.57,9,4.24,6.09,8.94,9,7.26,10.72,15.98,9,1.15,2.34,3.92,9,1.15,2.61,3.94,9,1.15,3.42,4.73,9,2.17,4.03,6.76,9,4.23,5.88,10.44,9,9.17,10.9,19.84,9,3.66,6.68
aster,ZEN,9,6.34,11.13,83.78,8,6.34,11.13,86.64,8,6.85,14.6,88.9,8,11.24,17.06,95.23,8,14.23,20.56,98.51,6,284.03,443.49,535.14,0,6.34,11.5,76.98,8,6.35,12.42,78.67,7,12.66,18.27,255.79,7,14.31,22.95,913.51,5,31.18,404.76,913.51,0,261.73,404.76,913.51,0,22.26,150.56
aster,ZRO,9,3.74,9.47,11.34,9,9.16,12.83,15.18,9,14.02,15.89,18.38,9,20.43,21.3,24.18,9,24.34,25.85,28.02,3,64.24,100.43,323.91,0,1.0,7.36,10.14,9,1.0,8.67,24.53,9,11.17,14.63,98.72,7,12.73,18.32,198.49,6,19.62,125.47,382.12,1,244.08,642.44,1294.27,0,11.98,14.72
aster,龙虾,9,6.76,9.94,55.91,8,7.41,12.45,55.91,8,7.68,18.34,59.12,8,11.27,30.03,101.13,2,18.42,68.14,179.25,1,47.35,264.27,446.78,0,4.21,9.18,56.02,8,4.21,12.02,60.01,8,4.99,23.44,80.71,5,6.84,39.19,108.81,2,13.3,72.57,197.47,1,48.7,273.74,466.08,0,12.91,111.82
binance,AR,9,2.25,3.97,5.31,9,4.41,5.25,5.98,9,6.68,7.64,8.51,9,8.84,10.21,10.88,9,11.6,13.15,15.85,9,17.51,20.17,25.38,8,2.74,4.39,5.71,9,4.22,5.42,6.5,9,6.1,7.71,8.52,9,8.33,9.94,12.31,9,10.64,12.63,16.89,9,16.01,18.55,25.04,8,4.49,4.56
binance,FET,9,3.23,3.28,3.31,9,3.23,3.28,3.31,9,3.23,3.3,5.26,9,3.28,5.87,7.5,9,3.28,7.78,8.63,9,6.82,9.02,10.63,9,3.23,3.28,3.31,9,3.23,3.28,3.31,9,3.23,3.28,3.31,9,3.23,3.3,6.22,9,3.23,3.94,8.03,9,5.67,7.52,10.26,9,6.56,6.62
binance,FIL,9,0.65,0.72,1.4,9,0.65,0.95,2.11,9,1.03,1.6,3.16,9,1.49,2.05,3.84,9,2.05,2.76,4.95,9,3.27,4.25,6.69,9,0.63,0.65,1.27,9,0.64,1.08,1.61,9,0.85,1.62,1.88,9,1.39,1.76,2.56,9,1.84,2.13,3.19,9,2.99,3.37,4.71,9,1.3,1.44
binance,KAS,9,1.8,4.68,6.31,9,3.02,6.23,7.09,9,5.43,8.63,9.84,9,7.34,10.68,11.98,9,10.05,14.48,16.01,9,17.35,22.59,26.87,7,1.8,3.65,4.75,9,3.28,4.87,7.45,9,6.16,7.4,12.0,9,8.62,9.68,14.85,9,11.88,14.0,17.8,9,19.11,24.62,26.75,5,3.66,7.33
binance,KITE,9,1.46,2.92,3.56,9,3.18,4.09,5.71,9,5.31,6.24,10.31,9,7.36,9.58,13.93,9,11.46,13.23,17.76,9,20.57,22.78,30.11,5,1.56,3.99,4.35,9,2.65,5.28,6.0,9,4.15,8.5,10.86,9,5.59,12.27,15.48,9,8.3,17.1,21.01,9,16.93,28.04,35.69,3,2.17,3.63
binance,LDO,9,1.36,2.38,3.87,9,2.03,3.24,3.96,9,3.65,3.99,5.49,9,4.88,5.5,6.64,9,6.54,7.83,8.86,9,9.77,11.02,15.73,9,1.35,2.46,3.4,9,1.4,3.32,3.75,9,3.0,4.01,4.78,9,4.68,5.55,6.62,9,5.98,7.12,8.75,9,8.57,11.3,13.59,9,2.74,2.81
binance,MAGMA,9,1.18,3.03,4.81,9,1.79,4.01,8.15,9,4.07,7.83,12.73,9,6.37,11.71,17.58,9,9.87,16.02,28.06,7,16.81,33.52,74.03,3,0.92,2.35,4.91,9,1.73,3.55,6.62,9,3.29,5.43,11.83,9,4.67,8.11,18.39,9,6.43,12.94,40.12,8,11.62,32.73,101.46,4,1.27,4.13
binance,ONDO,9,1.44,1.47,1.49,9,1.44,1.47,1.49,9,1.44,1.47,2.58,9,1.46,1.48,3.49,9,1.47,2.61,3.95,9,2.87,4.07,4.82,9,1.44,1.47,1.49,9,1.44,1.47,1.49,9,1.44,1.47,2.18,9,1.44,1.47,3.29,9,1.46,1.7,3.84,9,2.63,3.42,4.68,9,2.93,2.97
binance,POWER,9,4.41,8.94,11.33,9,5.81,12.34,15.21,9,9.18,19.15,21.92,9,12.63,28.49,34.97,2,23.51,46.65,66.34,1,44.93,88.75,145.66,0,4.59,8.44,12.85,9,5.98,11.23,20.45,9,10.7,17.21,28.73,7,16.38,26.44,40.6,4,30.26,42.52,75.47,0,59.65,97.3,152.24,0,5.82,8.3
binance,RIVER,9,3.69,3.92,6.51,9,3.69,5.54,8.79,9,3.97,9.15,10.16,9,6.94,10.35,12.35,9,9.42,14.31,16.61,9,16.71,24.16,30.27,7,3.69,3.8,4.05,9,3.69,3.87,5.16,9,3.69,4.05,8.71,9,6.43,7.83,10.52,9,8.75,9.91,14.67,9,17.13,18.45,28.2,8,7.6,8.1
binance,RUNE,9,1.07,1.78,5.87,9,1.21,2.5,7.0,9,2.81,4.85,8.57,9,5.1,7.53,10.97,9,9.37,11.62,15.67,9,15.5,18.45,23.43,9,1.38,2.53,3.99,9,2.3,3.12,4.66,9,3.59,5.18,6.7,9,5.38,7.12,8.5,9,8.0,9.85,11.45,9,14.11,15.69,22.72,9,2.13,2.15
binance,TAO,9,0.22,0.23,1.06,9,0.23,0.43,1.13,9,0.53,0.98,1.49,9,0.8,1.74,2.0,9,1.23,2.27,2.76,9,3.3,3.74,4.32,9,0.22,0.23,0.59,9,0.23,0.36,0.98,9,0.7,1.05,1.78,9,1.18,1.62,2.41,9,2.15,2.28,3.23,9,3.14,3.68,4.38,9,0.46,0.46
binance,UAI,9,1.18,2.48,3.85,9,2.18,3.46,4.27,9,3.96,5.24,6.61,9,5.57,7.24,10.79,9,7.41,10.76,16.15,9,12.74,18.64,36.45,8,1.72,2.95,3.73,9,2.38,3.64,5.15,9,3.55,4.93,6.8,9,4.61,7.02,8.94,9,5.86,9.54,11.26,9,8.13,17.36,28.58,8,3.55,4.74
binance,USELESS,9,1.26,1.88,2.2,9,1.84,2.31,2.92,9,3.01,3.94,4.35,9,4.69,5.56,6.03,9,7.14,7.76,9.24,9,10.38,13.62,17.95,9,1.42,1.76,2.81,9,2.07,2.58,3.57,9,3.07,3.91,5.11,9,3.85,5.38,6.45,9,6.23,7.36,8.73,9,11.28,13.58,14.53,9,2.45,2.78
binance,WIF,9,2.5,2.54,2.62,9,2.5,2.58,4.48,9,2.53,3.64,6.36,9,2.53,5.57,6.99,9,3.85,6.53,8.76,9,7.73,9.77,13.07,9,2.5,2.54,2.62,9,2.5,2.54,3.62,9,3.18,4.27,6.09,9,5.38,5.97,6.91,9,6.57,6.93,9.44,9,9.39,9.91,14.14,9,5.07,5.23
binance,XMR,9,0.1,0.85,1.63,9,0.1,1.58,2.42,9,1.37,2.84,4.72,9,2.59,4.26,6.65,9,4.03,6.22,8.52,9,7.32,9.91,12.07,9,0.1,0.87,2.28,9,0.32,1.54,2.6,9,1.33,2.74,4.37,9,1.39,3.71,6.14,9,2.43,5.46,8.31,9,5.86,8.3,13.29,9,0.2,2.73
binance,ZEC,9,0.06,0.06,0.42,9,0.06,0.11,0.71,9,0.06,0.38,0.94,9,0.1,0.66,1.2,9,0.14,0.99,1.54,9,0.32,1.84,2.39,9,0.06,0.06,0.51,9,0.06,0.06,0.56,9,0.06,0.06,0.64,9,0.06,0.09,0.79,9,0.09,0.3,1.0,9,0.41,0.81,1.45,9,0.12,0.13
binance,ZEN,9,1.77,2.65,3.77,9,3.06,3.76,4.83,9,4.08,5.81,6.72,9,4.47,7.65,8.44,9,7.18,10.19,11.6,9,13.18,15.66,17.51,9,1.77,3.15,3.91,9,2.06,4.01,4.86,9,2.94,5.8,6.45,9,3.24,7.08,8.1,9,5.35,9.6,10.17,9,11.23,13.28,15.57,9,1.86,3.53
binance,ZRO,9,0.98,2.03,2.94,9,2.04,2.84,3.9,9,4.12,4.54,6.43,9,5.86,6.44,8.85,9,7.74,8.78,10.7,9,11.9,15.7,17.4,9,1.03,1.94,2.6,9,2.28,2.96,3.27,9,3.76,4.61,5.36,9,5.18,6.49,7.77,9,6.57,9.9,10.83,9,9.86,14.8,18.33,9,1.97,2.01
binance,龙虾,9,1.93,4.19,7.86,9,3.61,5.65,9.44,9,5.53,7.89,16.06,9,7.19,10.88,21.3,9,9.59,14.03,32.1,8,13.43,27.56,75.62,3,2.29,4.21,8.33,9,3.46,5.31,10.95,9,6.01,8.47,15.09,9,8.45,11.34,19.59,9,10.55,15.19,28.38,7,15.5,30.29,65.03,3,4.06,5.81
bitget,AR,9,6.14,6.38,8.26,9,6.71,8.7,11.51,9,9.96,13.58,17.37,9,12.66,18.01,23.55,9,16.37,23.6,32.42,6,20.65,30.93,48.71,1,5.35,6.19,7.81,9,6.63,7.66,10.99,9,9.68,10.69,17.95,9,11.5,14.4,23.42,9,13.67,18.67,30.05,7,15.94,24.45,49.35,5,4.52,8.77
bitget,BTW,9,6.4,8.87,11.29,9,7.75,10.17,14.5,9,8.5,12.87,19.3,9,12.78,17.83,23.92,9,19.16,30.51,49.49,3,41.43,56.08,71.53,0,6.97,8.89,12.02,9,7.72,10.28,15.1,9,10.1,14.87,18.75,9,13.54,21.71,27.09,8,20.61,33.16,54.5,3,42.94,56.91,75.0,0,5.05,9.55
bitget,FET,9,3.26,3.3,8.18,9,3.26,3.3,8.94,9,3.27,4.22,9.4,9,3.3,7.06,9.55,9,5.57,8.48,9.62,9,8.25,9.39,11.15,9,3.23,3.3,6.94,9,3.23,3.31,8.37,9,3.23,4.57,9.22,9,3.23,7.16,9.51,9,3.3,8.46,9.65,9,5.74,10.29,12.59,9,6.56,6.63
