coin,short_venue,long_venue,apr_90d,apr_30d,apr_14d,pos_day_frac,max_dd_notional,daily_std,overlap_days,iv_a,iv_b,cost_roundtrip,net_apr_14d_hold,net_apr_30d_hold,live_gross_apr
INJ,binance,hl,0.021724,-0.000522,-0.138195,0.483516,0.005901,0.000441,89.708333,8.0,1.0,0.0019,-0.027811,-0.001392,0.0
FIL,binance,hl,0.018811,0.032105,0.022082,0.505495,0.00267,0.000275,89.708333,8.0,1.0,0.0019,-0.030725,-0.004306,0.0
CSOPSKHYNIX2L,bybit,binance,0.020772,0.020772,0.051685,0.5,0.001016,0.000277,21.041667,8.0,8.0,0.0021,-0.033978,-0.004778,0.688941
TRUMP,bybit,binance,0.019797,-0.004079,-0.002033,0.648352,0.000506,9e-05,89.875,8.0,4.0,0.0021,-0.034953,-0.005753,0.104156
FIL,bybit,hl,0.017793,0.030633,0.02058,0.505495,0.002818,0.000275,89.708333,8.0,1.0,0.002,-0.03435,-0.00654,0.0
GDX,binance,bybit,0.018517,0.018517,0.018868,0.5,0.000161,9.9e-05,14.708333,8.0,8.0,0.0021,-0.036233,-0.007033,1.274339
ARB,hl,okx,0.015202,0.000451,0.035077,0.637363,0.002062,0.00018,89.708333,1.0,8.0,0.0019,-0.034334,-0.007915,0.062231
MEITUAN,binance,bybit,0.017017,0.017017,0.022919,0.590909,0.000134,7.6e-05,21.041667,8.0,8.0,0.0021,-0.037733,-0.008533,2.274063
CAKE,binance,bybit,0.015992,0.017589,0.021662,0.945055,5.4e-05,2.9e-05,89.875,4.0,8.0,0.0021,-0.038758,-0.009558,0.0
ETC,binance,hl,0.013496,0.033769,0.005116,0.351648,0.004913,0.000376,89.708333,8.0,1.0,0.0019,-0.03604,-0.009621,0.0
VST,binance,bybit,0.015035,0.015035,0.014713,0.625,4.2e-05,4.9e-05,14.708333,8.0,8.0,0.0021,-0.039715,-0.010515,0.890498
PYTH,binance,bybit,0.014867,0.011722,0.011625,0.978022,3e-05,2.1e-05,89.875,4.0,8.0,0.0021,-0.039883,-0.010683,0.0
MORPHO,binance,bybit,0.014858,0.012632,0.015689,0.879121,0.000126,3.7e-05,89.875,4.0,8.0,0.0021,-0.039892,-0.010692,0.382593
ETC,bybit,hl,0.012371,0.031113,0.001464,0.351648,0.005024,0.000376,89.708333,8.0,1.0,0.002,-0.039772,-0.011962,0.0
KAS,binance,bybit,0.011496,0.014074,0.014013,0.923077,0.000183,2.8e-05,89.875,4.0,8.0,0.0021,-0.043254,-0.014054,0.0
TENCENT,binance,bybit,0.011273,0.01001,0.016293,0.472222,0.000144,6e-05,34.708333,8.0,8.0,0.0021,-0.043477,-0.014277,0.849643
KORU,bybit,binance,0.010988,-0.002215,-0.001162,0.428571,0.00129,0.000447,69.041667,8.0,8.0,0.0021,-0.043762,-0.014562,0.529345
HYPE,binance,bybit,0.010875,0.015991,0.015302,0.813187,0.000144,4.1e-05,89.708333,4.0,8.0,0.0021,-0.043875,-0.014675,0.082278
TIA,binance,hl,0.008259,0.001093,0.002427,0.43956,0.001917,0.000221,89.875,4.0,1.0,0.0019,-0.041276,-0.014857,0.060671
MORPHO,hl,bybit,0.008211,0.055412,0.196247,0.615385,0.011189,0.000531,89.875,1.0,8.0,0.002,-0.043932,-0.016123,0.529323
POPMART,binance,bybit,0.009374,0.006433,0.007319,0.472222,0.00018,5.7e-05,34.708333,8.0,8.0,0.0021,-0.045376,-0.016176,1.050773
BSV,hl,bybit,0.008135,0.150371,0.272809,0.747253,0.01275,0.000736,89.875,1.0,8.0,0.002,-0.044007,-0.016198,0.321218
WIF,binance,bybit,0.00926,0.013204,0.017724,0.802198,0.000182,3.4e-05,89.875,4.0,8.0,0.0021,-0.04549,-0.01629,0.0
TIA,binance,bybit,0.008974,0.010997,0.010796,0.835165,0.000267,3.3e-05,89.875,4.0,8.0,0.0021,-0.045776,-0.016576,0.045793
ORDI,binance,bybit,0.008371,0.00822,0.011227,0.857143,0.000152,2.9e-05,89.875,4.0,8.0,0.0021,-0.046379,-0.017179,0.0
WLD,okx,binance,0.006324,0.008923,0.007898,0.736264,0.000154,2.7e-05,89.708333,8.0,8.0,0.002,-0.045819,-0.01801,0.059951
BSV,hl,binance,0.003002,0.133435,0.258796,0.747253,0.012511,0.00068,89.875,1.0,4.0,0.0019,-0.046533,-0.020114,0.249452
BSV,binance,bybit,0.005133,0.016935,0.014013,0.791209,0.001463,0.000114,89.875,4.0,8.0,0.0021,-0.049617,-0.020417,0.071766
OG,binance,bybit,0.005012,0.007857,0.001283,0.769231,0.000417,4.5e-05,89.708333,4.0,8.0,0.0021,-0.049738,-0.020538,0.0
HANMI,bybit,binance,0.004889,0.004889,0.007109,0.263158,0.00013,6.2e-05,17.708333,8.0,8.0,0.0021,-0.049861,-0.020661,0.485041
RUNE,binance,bybit,0.004724,0.002576,0.002957,0.604396,7.6e-05,2.4e-05,89.708333,8.0,8.0,0.0021,-0.050026,-0.020826,0.0
MRVL,binance,bybit,0.004084,-0.001301,0.000744,0.494505,0.002036,0.000156,89.708333,8.0,8.0,0.0021,-0.050666,-0.021466,0.051531
ADA,okx,binance,0.002667,0.000533,0.004211,0.549451,0.00013,1.8e-05,89.708333,8.0,8.0,0.002,-0.049476,-0.021666,0.105678
ATOM,bybit,binance,0.003596,0.000499,0.004946,0.637363,0.000169,2.8e-05,89.708333,8.0,8.0,0.0021,-0.051154,-0.021954,0.223785
PEPE,bybit,binance,0.003513,-0.001763,-0.005987,0.538462,0.000245,3e-05,89.708333,8.0,8.0,0.0021,-0.051237,-0.022037,0.049439
BITO,binance,bybit,0.003451,0.005043,0.005452,0.297297,0.000413,9.2e-05,35.375,8.0,8.0,0.0021,-0.051299,-0.022099,1.045637
ENA,binance,okx,0.002223,0.006001,0.012057,0.681319,0.000545,3.8e-05,89.875,4.0,8.0,0.002,-0.04992,-0.02211,0.014717
S,bybit,binance,0.003268,-0.002929,-0.008349,0.494505,0.000536,6.2e-05,89.875,8.0,4.0,0.0021,-0.051482,-0.022282,0.048443
XRP,okx,binance,0.001659,0.001242,0.002023,0.626374,0.00014,1.3e-05,89.708333,8.0,8.0,0.002,-0.050484,-0.022675,0.001303
RENDER,binance,bybit,0.002573,0.000421,0.014696,0.681319,0.000774,5.1e-05,89.875,4.0,8.0,0.0021,-0.052177,-0.022977,0.0
PENGU,bybit,okx,0.002525,-0.000347,-0.002034,0.637363,8.8e-05,1.7e-05,89.875,8.0,8.0,0.0021,-0.052225,-0.023025,0.05475
BTC,binance,bybit,0.002206,0.0027,0.002963,0.736264,9.4e-05,1e-05,89.708333,8.0,8.0,0.0021,-0.052544,-0.023344,0.0
UNI,binance,bybit,0.002198,0.002192,0.002398,0.637363,5.3e-05,1.3e-05,89.708333,8.0,8.0,0.0021,-0.052552,-0.023352,0.028853
SEI,bybit,binance,0.002197,0.002912,-0.001242,0.582418,0.000412,2.8e-05,89.708333,8.0,8.0,0.0021,-0.052553,-0.023353,0.116059
DOGE,okx,bybit,0.002171,0.002075,0.000872,0.615385,9.9e-05,1.3e-05,89.708333,8.0,8.0,0.0021,-0.052579,-0.023379,0.005659
ADA,bybit,binance,0.002158,-0.000871,0.000576,0.549451,0.000171,2e-05,89.708333,8.0,8.0,0.0021,-0.052592,-0.023392,0.105678
DOGE,okx,binance,0.000833,1.7e-05,-0.001757,0.538462,8.4e-05,1.3e-05,89.708333,8.0,8.0,0.002,-0.05131,-0.023501,0.029717
GMX,binance,bybit,0.001948,0.000787,0.000753,0.373626,0.000596,4.3e-05,89.708333,8.0,8.0,0.0021,-0.052802,-0.023602,0.039037
SNXX,binance,bybit,0.001837,-0.003859,-0.001755,0.4,0.00056,0.000103,48.708333,8.0,8.0,0.0021,-0.052913,-0.023713,0.18742
BABA,binance,bybit,0.001787,0.007084,0.012202,0.527473,0.00113,0.000125,89.708333,8.0,8.0,0.0021,-0.052963,-0.023763,0.602502
AR,binance,bybit,0.001723,0.003583,0.003018,0.483516,0.000133,2e-05,89.708333,8.0,8.0,0.0021,-0.053027,-0.023827,0.130863
PENGU,binance,okx,0.000411,0.011432,0.013565,0.648352,0.000963,4.8e-05,89.875,4.0,8.0,0.002,-0.051731,-0.023922,0.05475
LDO,binance,bybit,0.001472,0.002069,0.001229,0.494505,0.000198,2e-05,89.708333,8.0,8.0,0.0021,-0.053278,-0.024078,0.037767
ONDS,bybit,binance,0.001419,0.00218,0.000978,0.223529,0.000368,5.7e-05,83.708333,8.0,8.0,0.0021,-0.053331,-0.024131,0.312064
