coin,short_venue,long_venue,apr_90d,apr_30d,apr_14d,pos_day_frac,max_dd_notional,daily_std,overlap_days,iv_a,iv_b,cost_roundtrip,net_apr_14d_hold,net_apr_30d_hold,live_gross_apr
ARB,binance,okx,-0.004005,-0.00407,-0.001345,0.340659,0.001048,2.2e-05,89.708333,8.0,8.0,0.002,-0.056148,-0.028338,0.062231
PAXG,bybit,binance,-0.003014,-0.001104,-0.006717,0.362637,0.000777,2.5e-05,89.875,8.0,4.0,0.0021,-0.057764,-0.028564,0.064999
LINK,bybit,binance,-0.003141,-0.00361,-0.00219,0.230769,0.000778,1.1e-05,89.708333,8.0,8.0,0.0021,-0.057891,-0.028691,0.024977
INJ,binance,bybit,-0.003422,-0.001772,-0.001271,0.373626,0.001012,2.7e-05,89.708333,8.0,8.0,0.0021,-0.058172,-0.028972,0.0
ENA,bybit,binance,-0.003606,-0.008333,-0.011452,0.362637,0.001198,4.2e-05,89.875,8.0,4.0,0.0021,-0.058356,-0.029156,0.040033
CRV,bybit,okx,-0.003651,-0.002227,-0.003059,0.21978,0.000968,1.8e-05,89.708333,8.0,8.0,0.0021,-0.058401,-0.029201,0.0
APT,binance,bybit,-0.003865,-0.003902,-0.004301,0.263736,0.00095,2.2e-05,89.708333,8.0,8.0,0.0021,-0.058615,-0.029415,0.028875
MORPHO,hl,binance,-0.006647,0.04278,0.180558,0.593407,0.011648,0.000524,89.875,1.0,4.0,0.0019,-0.056183,-0.029764,0.14673
WLD,bybit,okx,-0.005497,-0.006141,-0.001761,0.120879,0.001471,2.2e-05,89.708333,8.0,8.0,0.0021,-0.060247,-0.031047,0.0
TRUMP,bybit,okx,-0.006805,-0.003863,-0.000868,0.318681,0.001678,3.7e-05,89.875,8.0,8.0,0.0021,-0.061555,-0.032355,0.076652
APT,hl,binance,-0.009835,-0.018783,0.0058,0.56044,0.003697,0.000272,89.708333,1.0,8.0,0.0019,-0.059371,-0.032952,0.075807
TMF,binance,bybit,-0.008295,-0.008611,-0.016998,0.2,0.000877,4.9e-05,33.708333,8.0,8.0,0.0021,-0.063045,-0.033845,1.797924
JUP,binance,bybit,-0.009277,0.003361,0.010118,0.296703,0.002786,5e-05,89.875,4.0,8.0,0.0021,-0.064027,-0.034827,0.0
PYTH,binance,hl,-0.011974,-0.061194,-0.085676,0.307692,0.007128,0.000328,89.875,4.0,1.0,0.0019,-0.06151,-0.035091,0.0
KSTR,binance,bybit,-0.012029,-0.01537,-0.022504,0.28,0.001948,0.000144,48.708333,8.0,8.0,0.0021,-0.066779,-0.037579,0.460404
APT,hl,bybit,-0.0137,-0.022684,0.001498,0.549451,0.00419,0.000279,89.708333,1.0,8.0,0.002,-0.065842,-0.038033,0.104682
AMAT,binance,bybit,-0.014903,0.000862,0.008156,0.488372,0.006607,0.000329,84.708333,8.0,8.0,0.0021,-0.069653,-0.040453,0.387455
JUP,bybit,hl,-0.016131,-0.019786,-0.154391,0.285714,0.007698,0.000418,89.875,8.0,1.0,0.002,-0.068273,-0.040464,0.0
VIRTUAL,binance,bybit,-0.014954,0.002658,0.011312,0.395604,0.00421,7.4e-05,89.875,4.0,8.0,0.0021,-0.069704,-0.040504,0.0
ARB,bybit,hl,-0.016645,-0.001698,-0.035483,0.351648,0.005473,0.000182,89.708333,8.0,1.0,0.002,-0.068788,-0.040978,0.0
MVLL,bybit,binance,-0.015824,0.003266,-0.006859,0.328125,0.003255,0.000206,62.708333,8.0,8.0,0.0021,-0.070574,-0.041374,0.185613
M,bybit,binance,-0.015925,-0.042503,-0.021766,0.307692,0.003953,0.00022,89.875,8.0,4.0,0.0021,-0.070675,-0.041475,1.161248
ARB,binance,hl,-0.019206,-0.00452,-0.036422,0.351648,0.005679,0.000177,89.708333,8.0,1.0,0.0019,-0.068742,-0.042323,0.0
VIRTUAL,bybit,hl,-0.019682,-0.110172,-0.166699,0.32967,0.009706,0.000374,89.875,8.0,1.0,0.002,-0.071825,-0.044015,0.0
ZHIPU,bybit,binance,-0.020354,7.1e-05,0.005261,0.416667,0.00245,0.000233,34.708333,8.0,8.0,0.0021,-0.075104,-0.045904,0.370745
KAS,binance,hl,-0.023584,-0.116213,-0.167982,0.296703,0.010018,0.000372,89.875,4.0,1.0,0.0019,-0.07312,-0.046701,0.0
PENGU,bybit,hl,-0.023348,-0.102394,-0.19188,0.307692,0.008553,0.000408,89.875,8.0,1.0,0.002,-0.075491,-0.047681,0.0
JUP,binance,hl,-0.025407,-0.016424,-0.144272,0.252747,0.009012,0.0004,89.875,4.0,1.0,0.0019,-0.074943,-0.048524,0.0
PENGU,binance,hl,-0.025461,-0.090614,-0.17628,0.32967,0.007606,0.000378,89.875,4.0,1.0,0.0019,-0.074997,-0.048578,0.0
PYTH,bybit,hl,-0.026841,-0.072916,-0.097301,0.230769,0.009612,0.000329,89.875,8.0,1.0,0.002,-0.078984,-0.051174,0.0
RENDER,binance,hl,-0.031282,-0.085179,-0.1218,0.230769,0.007777,0.00027,89.875,4.0,1.0,0.0019,-0.080818,-0.054399,0.0
KODEX200,bybit,binance,-0.030231,-0.030231,-0.029135,0.105263,0.001467,0.000135,17.708333,8.0,8.0,0.0021,-0.084981,-0.055781,1.229105
