coin,short_venue,long_venue,apr_30d,apr_90d,pos_day_frac,med_ep_days,fees_rt_pct,sleg_spread_bps,lleg_spread_bps,cap_short,cap_long,rt_slip_1000_bps,rt_cost_1000_pct,net_apr30_1000,net_apr14_1000,breakeven_d_1000,rt_slip_5000_bps,rt_cost_5000_pct,net_apr30_5000,net_apr14_5000,breakeven_d_5000,rt_slip_10000_bps,rt_cost_10000_pct,net_apr30_10000,net_apr14_10000,breakeven_d_10000,min_leg_depth25,rt_cost_1000_maker_pct,net_apr30_1000_maker,pass_1k,pass_10k,pair_cap
USELESS,aster,binance,0.124192,0.224678,1.0,91,0.18,20.458863,1.949128,2500,25000,29.7,0.477,0.066127,-0.000234,14.026366,55.7,0.737,0.03452,-0.067962,21.661295,81.3,0.993,0.003375,-0.134702,29.184835,1279,0.292,0.088723,1,0,2500
FIL,aster,binance,0.101842,0.106499,1.0,91,0.18,14.336918,1.432973,10000,25000,16.5,0.345,0.059924,0.012018,12.347897,32.7,0.507,0.040179,-0.030293,18.164343,33.6,0.516,0.039064,-0.032681,18.492636,13088,0.193,0.078379,1,0,10000
FIL,aster,bybit,0.103373,0.107492,1.0,91,0.19,14.336918,1.432767,10000,25000,20.3,0.393,0.055596,0.000993,13.865502,39.8,0.588,0.031822,-0.04995,20.764885,42.1,0.611,0.029023,-0.055949,21.577346,13088,0.241,0.07405,1,0,10000
FIL,aster,bitget,0.098304,0.102919,1.0,91,0.2,14.336918,1.432973,10000,25000,17.7,0.377,0.052441,2.5e-05,13.996419,36.3,0.563,0.029779,-0.048536,20.912201,40.4,0.604,0.024781,-0.059246,22.43749,13088,0.225,0.070895,1,0,10000
FET,aster,binance,0.106466,0.110306,1.0,91,0.18,26.041667,6.499838,5000,25000,35.9,0.539,0.04086,-0.034119,18.486554,47.1,0.651,0.027243,-0.063298,22.323535,90.5,1.085,-0.025485,-0.176286,37.181208,4057,0.329,0.066435,0,0,5000
LDO,aster,binance,0.091971,0.097866,1.0,91,0.18,21.609941,2.698691,5000,25000,28.1,0.461,0.035852,-0.028283,18.305363,43.0,0.61,0.017696,-0.06719,24.227767,131.3,1.493,-0.089697,-0.297317,59.258179,6365,0.273,0.058732,0,0,5000
LDO,aster,bybit,0.094304,0.099348,1.0,91,0.19,21.609941,5.402485,5000,25000,29.3,0.483,0.035535,-0.031629,18.69549,45.3,0.643,0.016037,-0.073411,24.898292,135.5,1.545,-0.093695,-0.308552,59.806371,6365,0.295,0.058415,0,0,5000
USELESS,aster,bitget,0.108899,0.221044,1.0,91,0.2,20.458863,14.565228,2500,10000,43.3,0.633,0.03188,-0.056141,21.217454,74.3,0.943,-0.005812,-0.13691,31.601112,103.4,1.234,-0.041275,-0.212903,41.370733,1279,0.447,0.054476,0,0,2500
USELESS,aster,okx,0.111347,0.227346,1.0,91,0.18,20.458863,2.936714,2500,1000,48.1,0.661,0.030979,-0.06087,21.653426,105.2,1.232,-0.038532,-0.209822,40.381528,159.6,1.776,-0.104709,-0.351629,58.211447,1037,0.475,0.053575,0,0,1000
USELESS,aster,bybit,0.094938,0.210856,0.967033,24,0.19,20.458863,4.875433,2500,25000,35.9,0.549,0.028178,-0.048119,21.095784,65.3,0.843,-0.007603,-0.124792,32.40241,94.0,1.13,-0.042579,-0.199742,43.454907,1279,0.363,0.050774,0,0,2500
WIF,aster,bybit,0.090398,0.094796,1.0,91,0.19,25.06894,5.021341,5000,25000,32.7,0.517,0.027499,-0.044386,20.874101,51.0,0.7,0.005257,-0.092047,28.25542,79.3,0.983,-0.029248,-0.165986,39.706338,4654,0.312,0.05249,0,0,5000
WIF,aster,binance,0.085508,0.091101,1.0,91,0.18,25.06894,5.016303,5000,25000,30.8,0.488,0.026182,-0.041619,20.814152,50.2,0.682,0.002552,-0.092255,29.104639,80.0,0.98,-0.033686,-0.169909,41.818684,4654,0.282,0.051174,0,0,5000
ZRO,aster,binance,0.080853,0.080566,1.0,91,0.18,11.805214,1.967536,5000,25000,27.5,0.455,0.025538,-0.037678,20.524112,51.0,0.69,-0.003037,-0.098912,31.127002,163.2,1.812,-0.139594,-0.391533,81.795338,3199,0.249,0.050603,0,0,5000
AR,aster,binance,0.08856,0.085891,1.0,91,0.18,22.79462,4.552697,2500,10000,33.9,0.519,0.025406,-0.046769,21.393468,69.3,0.873,-0.017673,-0.139083,35.986873,81.4,0.994,-0.032428,-0.1707,40.985016,1000,0.325,0.049006,0,0,2500
FET,aster,bitget,0.0972,0.100421,1.0,91,0.2,26.041667,6.504065,5000,25000,39.6,0.596,0.024631,-0.058306,22.397932,52.7,0.727,0.008724,-0.092391,27.307407,96.5,1.165,-0.044556,-0.206563,43.751934,4057,0.386,0.050206,0,0,5000
LDO,aster,bitget,0.091289,0.098509,1.0,91,0.2,21.609941,5.403945,5000,25000,35.0,0.55,0.02432,-0.052216,22.007794,48.0,0.68,0.008511,-0.086093,27.203173,135.3,1.553,-0.09765,-0.313579,62.090263,6365,0.362,0.047199,0,0,5000
ZRO,aster,bybit,0.078967,0.079155,1.0,91,0.19,11.805214,0.984397,5000,25000,27.7,0.467,0.02214,-0.042805,21.588835,54.5,0.735,-0.01042,-0.112577,33.958723,165.8,1.848,-0.145832,-0.402744,85.402244,3199,0.261,0.047205,0,0,5000
WIF,aster,dydx,0.12071,0.129783,1.0,43,0.18,25.06894,38.158357,5000,10000,63.2,0.812,0.021877,-0.091076,24.56304,76.1,0.941,0.006267,-0.124526,28.442544,106.2,1.242,-0.030363,-0.203019,37.546226,4654,0.607,0.046868,0,0,5000
WIF,aster,bitget,0.082699,0.084907,1.0,91,0.2,25.06894,5.018821,5000,25000,36.5,0.565,0.013898,-0.064732,24.958446,52.2,0.722,-0.005195,-0.105646,31.884702,83.6,1.036,-0.043292,-0.187281,45.704555,4654,0.36,0.038889,0,0,5000
ZRO,aster,bitget,0.079249,0.077971,1.0,91,0.2,11.805214,4.917146,5000,25000,34.2,0.542,0.013337,-0.06199,24.951116,58.3,0.783,-0.016025,-0.124909,36.06614,168.5,1.885,-0.150091,-0.412195,86.81767,3199,0.336,0.038402,0,0,5000
KAS,aster,binance,0.081526,0.080528,1.0,91,0.18,29.038113,3.633061,2500,10000,39.3,0.573,0.011813,-0.067858,25.652884,73.8,0.918,-0.030205,-0.157898,41.114994,124.3,1.423,-0.091563,-0.289379,63.693454,2063,0.348,0.039212,0,0,2500
KAS,aster,bybit,0.082899,0.082099,0.978022,82,0.19,29.038113,3.638348,2500,10000,41.0,0.6,0.009959,-0.073402,26.396115,73.2,0.922,-0.029272,-0.157467,40.592981,123.8,1.428,-0.090856,-0.289432,62.879383,2063,0.374,0.037357,0,0,2500
AR,aster,bitget,0.088239,0.082096,1.0,91,0.2,22.79462,4.554771,2500,5000,44.6,0.646,0.009665,-0.080133,26.713885,94.9,1.149,-0.051515,-0.211233,47.51424,115.1,1.351,-0.076153,-0.26403,55.891052,1000,0.452,0.033265,0,0,2500
AR,aster,bybit,0.092603,0.087731,1.0,91,0.19,22.79462,9.11577,2500,2500,51.3,0.703,0.007038,-0.09075,27.719788,109.5,1.285,-0.063769,-0.24248,50.658861,146.7,1.657,-0.108999,-0.339401,65.311599,1000,0.509,0.030638,0,0,2500
KAS,aster,bitget,0.081853,0.078268,0.978022,82,0.2,29.038113,10.899183,2500,25000,41.6,0.616,0.006847,-0.078875,27.490605,71.9,0.919,-0.02997,-0.157767,40.984185,120.2,1.402,-0.088664,-0.283541,62.496323,2063,0.391,0.034245,0,0,2500
FIL,aster,dydx,0.108485,0.110349,1.0,43,0.18,14.336918,54.456864,10000,0,68.8,0.868,0.002888,-0.117794,29.201346,89.6,1.076,-0.022428,-0.172044,36.20224,102.1,1.201,-0.037644,-0.204649,40.409909,0,0.716,0.021342,0,0,0
ICP,aster,dydx,0.094918,0.085027,0.976744,35,0.18,4.112688,53.883964,10000,0,61.1,0.791,-0.001326,-0.11132,30.41923,71.7,0.897,-0.014212,-0.138932,34.491919,79.1,0.971,-0.023278,-0.158358,37.357145,0,0.659,0.014687,0,0,0
LDO,aster,dydx,0.1037,0.107033,1.0,43,0.18,21.609941,78.304307,5000,0,99.9,1.179,-0.039762,-0.203719,41.502999,109.7,1.277,-0.051674,-0.229245,44.949204,199.7,2.177,-0.161174,-0.463888,76.627122,0,0.991,-0.016883,0,0,0
ZRO,aster,dydx,0.097451,0.100616,0.976744,32,0.18,11.805214,78.585462,5000,0,100.0,1.18,-0.046077,-0.210108,44.184585,133.2,1.512,-0.086527,-0.296788,56.637156,261.9,2.799,-0.243145,-0.632398,104.851495,0,0.974,-0.021012,0,0,0
MORPHO,dydx,aster,0.106107,0.219489,0.604651,4,0.18,89.966751,15.240626,0,2500,115.8,1.338,-0.05671,-0.242786,46.033749,3375.2,33.932,-4.022261,-8.740395,1167.227737,3930.6,39.486,-4.697986,-10.188379,1358.278012,0,0.888,-0.00198,0,0,0
ZEN,aster,binance,0.092098,0.090746,1.0,91,0.18,150.560224,3.534193,0,25000,171.1,1.891,-0.137991,-0.400949,74.949087,905.5,9.235,-1.031451,-2.315507,365.984848,913.7,9.317,-1.041472,-2.33698,369.248914,0,0.945,-0.022842,0,0,0
ZEN,aster,bybit,0.095237,0.093757,1.0,91,0.19,150.560224,8.826904,0,2500,183.2,2.022,-0.150829,-0.432047,77.511671,936.3,9.553,-1.067043,-2.395364,366.122552,968.5,9.875,-1.106202,-2.479275,378.457595,0,1.076,-0.03568,0,0,0
SPX,aster,dydx,0.131304,0.112697,0.976744,39,0.18,25.516713,1227.68403,2500,0,1865.1,18.831,-2.1598,-4.778204,523.465496,2062.2,20.802,-2.399624,-5.292114,578.259973,2365.9,23.839,-2.769109,-6.083866,662.678871,0,18.623,-2.134544,0,0,0
ZEN,aster,dydx,0.103462,0.104798,1.0,43,0.18,150.560224,662.011426,0,0,2124.5,21.425,-2.50326,-5.48237,755.849022,4463.3,44.813,-5.348768,-11.579888,1580.936987,4552.0,45.7,-5.45674,-11.811256,1612.244674,0,20.479,-2.388111,0,0,0
