coin,short_venue,long_venue,long_leg_n,hours,days,pos_frac,median_spread_apr,mean_spread_apr,p25_spread_apr,slope_apr_pts_day,short_leg_median_apr,long_leg_median_apr,rt_stress_pct,net_apr_30d_pct,net_apr_14d_pct,breakeven_days,short_venue_reachable,long_venue_reachable
DOGE,bitget,Pacifica,270,1417,59.0,0.003,0.0,-2.2,-3.2,0.043,10.9,10.9,0.42,-5.1,-10.9,,untested,blocked
DOGE,bitget,BitMEX,270,357,14.9,0.157,0.0,-0.5,-3.5,-0.662,9.5,10.9,0.42,-5.1,-10.9,,untested,reachable
DOGE,bitget,edgeX,270,1417,59.0,0.003,0.0,-1.0,-3.2,0.161,10.9,10.9,0.42,-5.1,-10.9,,untested,blocked
DOGE,bitget,Bitunix,270,1417,59.0,0.164,0.0,-1.1,-1.6,0.006,10.9,10.9,0.42,-5.1,-10.9,,untested,blocked
DOGE,bitget,Bitunix,270,1417,59.0,0.164,0.0,-1.1,-1.6,0.006,10.9,10.9,0.42,-5.1,-10.9,,untested,blocked
DOGE,bitget,Bitunix,270,1417,59.0,0.164,0.0,-1.1,-1.6,0.006,10.9,10.9,0.42,-5.1,-10.9,,untested,blocked
DOGE,bitget,GRVT,270,1417,59.0,0.0,0.0,-2.2,-3.2,0.045,10.9,10.9,0.42,-5.1,-10.9,,untested,blocked
DOGE,bitget,HTX,270,1417,59.0,0.0,0.0,-2.6,-3.2,0.07,10.9,10.9,0.42,-5.1,-10.9,,untested,reachable
DOGE,bitget,HTX,270,1417,59.0,0.0,0.0,-2.6,-3.2,0.07,10.9,10.9,0.42,-5.1,-10.9,,untested,reachable
DOGE,bitget,Variational,270,169,7.0,0.521,0.0,-1.5,-2.6,-0.386,10.9,10.9,0.42,-5.1,-10.9,1.0330176681277347e+17,untested,blocked
XPD,binance,MEXC,297,1437,59.9,0.132,0.0,-18.5,-0.4,-1.049,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
XPD,binance,Bitfinex,297,753,31.4,0.177,0.0,-50.5,-105.8,1.072,26.3,0.0,0.4,-4.9,-10.4,,untested,untested
0G,binance,ApeX,540,1421,59.2,0.089,0.0,-7.6,-9.2,0.08,10.9,10.9,0.4,-4.9,-10.4,,untested,blocked
0G,binance,Backpack,540,1421,59.2,0.377,0.0,15.5,0.0,-0.596,10.9,10.9,0.4,-4.9,-10.4,,untested,reachable
0G,binance,BingX,540,1421,59.2,0.018,0.0,-14.8,-16.4,0.17,10.9,10.9,0.4,-4.9,-10.4,,untested,reachable
0G,binance,Bitunix,540,1421,59.2,0.232,0.0,-1.5,0.0,-0.01,10.9,10.9,0.4,-4.9,-10.4,,untested,blocked
0G,binance,WhiteBIT,540,1421,59.2,0.008,0.0,-15.3,-17.6,0.618,10.9,10.9,0.4,-4.9,-10.4,,untested,reachable
0G,binance,KuCoin,540,1137,47.4,0.123,0.0,-2.0,-0.2,0.061,10.9,10.9,0.4,-4.9,-10.4,,untested,reachable
0G,binance,Variational,540,785,32.7,0.781,0.0,-4.9,0.0,-0.085,10.9,10.9,0.4,-4.9,-10.4,9.838263505978427e+16,untested,blocked
