coin,short_venue,long_venue,long_leg_n,hours,days,pos_frac,median_spread_apr,mean_spread_apr,p25_spread_apr,slope_apr_pts_day,short_leg_median_apr,long_leg_median_apr,rt_stress_pct,net_apr_30d_pct,net_apr_14d_pct,breakeven_days,short_venue_reachable,long_venue_reachable
CASHCAT,hl,Crypto.com,1097,1196,49.8,0.799,603.5,224.7,43.5,24.133,57.7,-109.8,0.39,598.8,593.3,0.2,untested,reachable
COTI,bitget,Variational,584,799,33.3,0.64,344.9,207.3,-143.2,-17.058,11.4,-333.5,0.42,339.8,334.0,0.4,untested,blocked
COTI,bitget,Crypto.com,584,1433,59.7,0.735,316.5,411.9,-63.9,-2.629,10.9,-361.1,0.42,311.4,305.6,0.5,untested,reachable
CELR,bitget,Crypto.com,180,1433,59.7,0.817,294.2,263.1,70.4,-2.258,10.9,-284.5,0.42,289.0,283.2,0.5,untested,reachable
COTI,bitget,Kraken,584,1433,59.7,0.816,239.0,278.4,63.5,2.849,10.9,-344.2,0.42,233.9,228.1,0.6,untested,reachable
XAG,bybit,Bitfinex,540,169,7.0,0.74,234.6,154.3,0.0,-40.039,5.9,-216.9,0.41,229.6,223.9,0.6,untested,untested
INJ,dydx,Extended,1000,1000,41.7,0.794,201.5,134.9,8.7,-0.757,0.0,-201.5,0.4,196.6,191.1,0.7,untested,blocked
KAITO,binance,Kraken,164,1437,59.9,0.868,197.5,110.1,91.7,3.018,10.9,-186.5,0.4,192.6,187.0,0.7,untested,reachable
BIO,binance,Kraken,235,1437,59.9,0.834,182.5,63.8,68.4,3.597,10.9,-171.6,0.4,177.6,172.1,0.8,untested,reachable
AIXBT,binance,Kraken,277,1437,59.9,0.9,177.2,122.1,96.1,0.308,10.9,-169.2,0.4,172.3,166.7,0.8,untested,reachable
DATAIP,binance,Crypto.com,360,1337,55.7,0.836,153.6,173.5,46.5,-4.889,-31.2,-201.1,0.4,148.7,143.2,1.0,untested,reachable
MSTR,bybit,Kraken,270,1417,59.0,0.701,148.9,98.9,-19.2,1.393,0.0,-147.6,0.41,143.9,138.2,1.0,untested,reachable
MEW,binance,Kraken,326,1437,59.9,0.897,147.5,101.5,71.1,-0.498,10.9,-137.0,0.4,142.7,137.1,1.0,untested,reachable
LINEA,okx,Crypto.com,183,1437,59.9,0.816,146.3,78.5,28.4,1.932,10.9,-135.4,0.4,141.5,135.9,1.0,untested,reachable
APE,bitget,Extended,112,1017,42.4,0.764,143.2,95.8,10.1,-0.856,10.9,-132.3,0.42,138.1,132.3,1.1,untested,blocked
CELR,bitget,Kraken,180,1433,59.7,0.902,138.4,48.2,71.1,-0.207,10.9,-128.2,0.42,133.3,127.5,1.1,untested,reachable
AAVE,hl,HTX,2156,1419,59.1,0.935,136.8,116.8,108.9,-0.735,10.9,-125.9,0.39,132.1,126.7,1.0,untested,reachable
LIT,dydx,Coinbase,1000,178,7.4,0.983,132.7,120.1,63.9,-4.209,0.0,-120.0,0.4,127.8,122.3,1.1,untested,blocked
COTI,bitget,KuCoin,584,856,35.7,0.602,132.7,97.7,-113.9,5.096,11.4,-302.2,0.42,127.6,121.8,1.2,untested,reachable
CRV,hl,Crypto.com,2156,1426,59.4,0.905,132.0,105.9,102.0,0.252,10.9,-121.1,0.39,127.3,121.9,1.1,untested,reachable
AAVE,aster,WhiteBIT,270,1417,59.0,0.927,129.6,104.3,49.6,2.134,10.9,-118.7,0.38,125.0,119.7,1.1,untested,reachable
ALGO,dydx,Crypto.com,822,1440,60.0,0.883,128.0,85.8,35.8,1.684,88.5,39.0,0.4,123.2,117.6,1.1,untested,reachable
KAIA,binance,Kraken,334,1437,59.9,0.946,120.9,116.3,68.2,-1.959,10.9,-118.1,0.4,116.0,110.5,1.2,untested,reachable
ALGO,dydx,Kraken,822,1440,60.0,0.847,118.6,120.9,21.4,3.719,88.5,-54.6,0.4,113.7,108.1,1.2,untested,reachable
ACE,aster,HTX,1035,175,7.3,0.737,111.0,90.2,-1.6,13.645,-206.2,-294.1,0.38,106.3,101.0,1.3,untested,reachable
CKB,bitget,Kraken,180,1433,59.7,0.819,108.4,87.3,30.9,-2.242,10.9,-97.4,0.42,103.3,97.4,1.4,untested,reachable
MINA,okx,Kraken,315,1437,59.9,0.948,106.4,12.4,58.9,0.16,10.9,-102.8,0.4,101.5,95.9,1.4,untested,reachable
HOME,bitget,Crypto.com,341,617,25.7,0.616,105.8,106.7,-158.4,-4.997,-218.8,-313.0,0.42,100.7,94.9,1.4,untested,reachable
CHIP,binance,KuCoin,157,1153,48.0,0.822,102.7,76.0,26.3,-0.448,10.9,-91.8,0.4,97.8,92.3,1.4,untested,reachable
DASH,bybit,Extended,270,1001,41.7,0.73,102.1,72.3,-0.4,-0.839,10.9,-91.1,0.41,97.1,91.4,1.5,untested,blocked
AXS,binance,Coinbase,174,1282,53.4,0.976,100.3,85.0,78.1,0.639,10.9,-89.4,0.4,95.4,89.9,1.5,untested,blocked
GRAM,hl,CoinEx,1464,1419,59.1,0.734,99.8,54.2,-8.4,4.451,10.9,-88.8,0.39,95.0,89.6,1.4,untested,blocked
ALGO,dydx,CoinEx,822,1433,59.7,0.942,98.5,100.3,21.4,2.694,91.6,-10.0,0.4,93.7,88.1,1.5,untested,blocked
JTO,okx,Extended,164,1017,42.4,0.909,95.9,78.3,95.9,-2.01,10.9,-85.0,0.4,91.1,85.5,1.5,untested,blocked
XAG,GRVT,okx,91,1433,59.7,0.841,95.3,57.1,12.8,0.401,95.3,0.0,0.4,90.4,84.8,1.5,blocked,untested
ICP,hl,Crypto.com,686,1440,60.0,0.82,92.7,50.4,39.7,0.725,10.9,-81.7,0.39,88.0,82.5,1.5,untested,reachable
ALGO,dydx,Coinbase,822,1440,60.0,0.891,92.6,95.6,11.4,3.0,88.5,-10.5,0.4,87.8,82.2,1.6,untested,blocked
ALGO,dydx,Deribit,822,617,25.7,0.733,92.2,262.0,-1.5,1.331,1.4,-78.7,0.4,87.3,81.8,1.6,untested,untested
ALGO,dydx,Deribit,822,617,25.7,0.733,92.2,262.0,-1.5,1.331,1.4,-78.7,0.4,87.3,81.8,1.6,untested,untested
ALGO,dydx,MEXC,822,1433,59.7,0.87,90.7,95.3,13.9,2.809,91.6,-8.3,0.4,85.9,80.3,1.6,untested,blocked
ALGO,dydx,KuCoin,822,1433,59.7,0.833,87.7,85.0,16.5,2.616,91.6,10.9,0.4,82.8,77.3,1.7,untested,reachable
INJ,Crypto.com,okx,102,1433,59.7,0.839,87.1,56.8,18.9,1.001,78.7,-8.4,0.4,82.2,76.7,1.7,reachable,untested
ETC,okx,Crypto.com,105,1433,59.7,0.943,84.6,60.9,36.6,0.356,7.9,-76.6,0.4,79.7,74.1,1.7,untested,reachable
UNITREE,edgeX,okx,43,337,14.0,0.822,84.0,60.9,25.0,6.757,27.5,-66.6,0.4,79.2,73.6,1.7,blocked,untested
ALGO,dydx,Bitunix,822,1433,59.7,0.732,82.3,81.8,-1.5,2.895,91.6,7.5,0.4,77.5,71.9,1.8,untested,blocked
ALGO,dydx,BingX,822,1433,59.7,0.743,81.5,81.2,-1.1,2.784,91.6,10.9,0.4,76.6,71.0,1.8,untested,reachable
ALGO,dydx,HTX,822,1433,59.7,0.711,80.7,80.1,-6.1,2.813,91.6,10.9,0.4,75.8,70.2,1.8,untested,reachable
ALGO,dydx,WhiteBIT,822,1433,59.7,0.717,80.7,80.5,-5.3,2.778,91.6,10.9,0.4,75.8,70.2,1.8,untested,reachable
CRV,hl,Deribit,2156,171,7.1,1.0,78.2,84.6,69.1,4.424,10.9,-67.2,0.39,73.4,68.0,1.8,untested,untested
GRT,bitget,Kraken,164,1433,59.7,0.804,78.2,75.8,16.8,-1.953,10.9,-69.8,0.42,73.1,67.3,2.0,untested,reachable
KSM,binance,Kraken,172,1433,59.7,0.796,75.4,-140.2,14.5,-13.541,10.9,-69.1,0.4,70.5,65.0,1.9,untested,reachable
ACE,aster,Kraken,1035,1035,43.1,0.614,74.0,-47.0,-140.9,-9.455,-173.3,-142.2,0.38,69.4,64.1,1.9,untested,reachable
KAITO,binance,Backpack,164,1437,59.9,0.688,71.1,45.8,0.0,0.246,10.9,-60.1,0.4,66.2,60.6,2.1,untested,reachable
ICP,bitget,Extended,270,1001,41.7,0.867,69.6,52.2,45.7,-1.019,10.9,-58.7,0.42,64.5,58.7,2.2,untested,blocked
MSFT,binance,edgeX,275,1417,59.0,0.822,69.3,42.0,18.4,0.842,0.0,-69.3,0.4,64.5,58.9,2.1,untested,blocked
2Z,binance,Backpack,157,1437,59.9,0.671,68.6,32.8,0.0,1.854,10.9,-57.7,0.4,63.8,58.2,2.1,untested,reachable
BTW,aster,HTX,2160,1423,59.3,0.77,68.5,55.8,6.8,-0.624,95.2,10.9,0.38,63.9,58.6,2.0,untested,reachable
2Z,binance,Lighter,157,1437,59.9,0.976,67.9,39.8,0.4,0.614,10.9,-56.9,0.4,63.0,57.5,2.2,untested,blocked
DOT,aster,Extended,270,1417,59.0,0.665,66.3,39.6,-0.4,0.721,10.9,-58.7,0.38,61.7,56.4,2.1,untested,blocked
AXS,dydx,Extended,505,85,3.5,0.859,66.1,81.5,30.2,25.236,10.9,-55.2,0.4,61.3,55.7,2.2,untested,blocked
MET,dydx,Crypto.com,548,548,22.8,0.73,66.1,72.4,-5.1,-1.959,10.9,-55.1,0.4,61.2,55.7,2.2,untested,reachable
GRT,bitget,Crypto.com,164,1433,59.7,0.967,65.7,60.8,35.5,-0.7,10.9,-55.4,0.42,60.6,54.7,2.3,untested,reachable
CASHCAT,hl,HTX,1097,625,26.0,0.638,64.5,199.4,0.0,1.844,72.3,10.9,0.39,59.7,54.3,2.2,untested,reachable
AKE,aster,HTX,1440,1141,47.5,0.82,64.2,89.7,18.4,-2.954,51.2,10.9,0.38,59.6,54.3,2.2,untested,reachable
AAPL,okx,edgeX,105,1433,59.7,0.62,63.6,29.1,-28.0,1.091,0.0,-55.2,0.4,58.8,53.2,2.3,untested,blocked
ALGO,dydx,Variational,822,185,7.7,1.0,63.4,77.0,42.7,2.577,63.7,2.9,0.4,58.5,52.9,2.3,untested,blocked
AXS,binance,Kraken,174,1437,59.9,0.85,63.3,45.2,23.6,1.394,10.9,-52.3,0.4,58.4,52.8,2.3,untested,reachable
ETC,okx,Bitfinex,105,1073,44.7,0.851,62.5,38.2,10.9,0.447,7.9,-54.6,0.4,57.6,52.1,2.3,untested,untested
BMT,aster,Crypto.com,1440,1440,60.0,0.685,61.3,41.9,-26.3,-4.599,10.9,-61.2,0.38,56.7,51.4,2.3,untested,reachable
MSFT,binance,BingX,275,761,31.7,0.979,61.0,41.9,10.9,-0.668,0.0,-61.0,0.4,56.2,50.6,2.4,untested,reachable
GRAM,bybit,Crypto.com,427,1421,59.2,0.849,60.3,41.0,18.4,0.86,10.9,-49.3,0.41,55.3,49.6,2.5,untested,reachable
ETHFI,binance,Extended,539,1001,41.7,0.836,60.0,48.1,47.7,-1.203,10.9,-49.1,0.4,55.1,49.6,2.4,untested,blocked
EIGEN,binance,Crypto.com,152,1437,59.9,0.829,59.2,38.4,38.4,0.796,10.9,-48.2,0.4,54.3,48.8,2.5,untested,reachable
CASHCAT,hl,Variational,1097,625,26.0,0.982,56.8,197.3,0.0,1.533,72.3,10.9,0.39,52.1,46.6,2.5,untested,blocked
ALGO,dydx,LBank,822,185,7.7,0.989,56.0,72.6,38.3,2.901,63.7,10.9,0.4,51.2,45.6,2.6,untested,blocked
NVDA,Crypto.com,binance,279,1417,59.0,0.871,55.7,33.9,5.0,0.755,55.7,0.0,0.4,50.9,45.3,2.6,reachable,untested
CASHCAT,aster,MEXC,1321,1319,55.0,0.633,54.8,105.9,-32.9,-0.535,30.4,10.9,0.38,50.1,44.8,2.5,untested,blocked
AXS,dydx,Crypto.com,505,505,21.0,0.85,54.6,58.8,19.2,-3.148,10.9,-43.6,0.4,49.7,44.1,2.7,untested,reachable
CRO,Crypto.com,dydx,1156,1440,60.0,0.676,53.8,-10.9,-75.2,-0.182,37.9,0.0,0.4,48.9,43.3,2.7,reachable,untested
BNB,dydx,Kraken,1000,178,7.4,0.961,52.9,51.3,37.5,1.203,48.4,-7.2,0.4,48.1,42.5,2.8,untested,reachable
DATA,bitget,CoinEx,360,1377,57.4,0.712,52.9,41.8,-22.1,-1.249,10.9,-56.4,0.42,47.8,41.9,2.9,untested,blocked
SAMSUNG,bitget,Crypto.com,417,1417,59.0,0.565,51.8,-9.1,-196.1,6.801,0.0,-49.2,0.42,46.7,40.8,3.0,untested,reachable
MSTR,Nado,okx,105,1297,54.0,0.672,51.6,25.9,0.0,1.283,54.6,0.0,0.4,46.7,41.2,2.8,reachable,untested
MRVL,bybit,Extended,270,1281,53.4,0.607,51.6,53.1,-9.0,3.141,0.0,-31.5,0.41,46.6,40.9,2.9,untested,blocked
CHZ,aster,Bitfinex,912,801,33.4,0.999,50.7,40.6,31.8,-0.498,10.9,-39.8,0.38,46.1,40.8,2.7,untested,untested
ATOM,aster,Crypto.com,270,1417,59.0,0.946,50.1,38.2,25.0,0.419,10.9,-40.7,0.38,45.5,40.2,2.8,untested,reachable
CASHCAT,aster,BingX,1321,1307,54.5,0.64,49.7,85.2,-32.9,-0.643,28.5,10.9,0.38,45.1,39.8,2.8,untested,reachable
HYPE,dydx,Crypto.com,1000,178,7.4,0.978,49.2,53.3,32.1,-4.114,0.0,-46.6,0.4,44.4,38.8,3.0,untested,reachable
ETHFI,okx,KuCoin,171,1153,48.0,0.68,49.1,30.9,0.0,0.185,10.9,-38.1,0.4,44.2,38.6,3.0,untested,reachable
BNB,dydx,Bitfinex,1000,171,7.1,0.988,48.9,45.5,33.9,1.704,48.9,0.0,0.4,44.1,38.5,3.0,untested,untested
BNB,dydx,CoinEx,1000,171,7.1,0.988,48.7,44.8,33.9,1.954,48.9,0.0,0.4,43.9,38.3,3.0,untested,blocked
CKB,binance,Crypto.com,180,1433,59.7,0.547,48.7,23.4,-284.4,9.437,10.9,-37.7,0.4,43.8,38.2,3.0,untested,reachable
BCH,hl,Lighter,589,1440,60.0,0.832,48.6,26.5,0.4,0.579,10.9,-37.7,0.39,43.9,38.5,2.9,untested,blocked
NBIS,Coinbase,okx,121,1433,59.7,0.823,48.2,34.5,9.8,0.341,49.9,0.0,0.4,43.3,37.8,3.0,blocked,untested
QCOM,binance,edgeX,138,873,36.4,0.656,47.8,17.6,-29.7,0.677,0.0,-47.8,0.4,42.9,37.4,3.1,untested,blocked
BNB,dydx,MEXC,1000,171,7.1,0.982,47.3,43.8,33.9,2.08,48.9,0.0,0.4,42.4,36.9,3.1,untested,blocked
BNB,dydx,LBank,1000,171,7.1,0.982,47.3,43.7,33.8,2.085,48.9,0.0,0.4,42.4,36.9,3.1,untested,blocked
CHIP,binance,Nado,157,1437,59.9,0.891,47.1,34.3,33.8,0.168,10.9,-36.2,0.4,42.3,36.7,3.1,untested,reachable
ETH,WhiteBIT,dydx,1000,171,7.1,0.971,46.2,46.3,32.7,4.481,30.9,0.4,0.4,41.4,35.8,3.2,reachable,untested
BNB,dydx,Variational,1000,171,7.1,0.936,45.3,42.1,33.1,3.488,48.9,2.7,0.4,40.5,34.9,3.2,untested,blocked
LTC,dydx,Crypto.com,1000,178,7.4,1.0,44.7,51.3,30.8,5.088,22.1,-19.0,0.4,39.8,34.2,3.3,untested,reachable
BNB,dydx,Coinbase,1000,178,7.4,0.994,44.6,44.0,31.3,2.947,48.4,0.4,0.4,39.8,34.2,3.3,untested,blocked
BNB,dydx,GRVT,1000,171,7.1,0.982,44.6,42.1,33.1,2.097,48.9,0.0,0.4,39.7,34.1,3.3,untested,blocked
BNB,dydx,WhiteBIT,1000,171,7.1,0.936,44.5,40.2,28.7,4.492,48.9,10.9,0.4,39.6,34.0,3.3,untested,reachable
JTO,okx,Kraken,164,1437,59.9,0.86,44.5,32.8,20.8,0.367,10.9,-33.5,0.4,39.6,34.0,3.3,untested,reachable
2Z,binance,Coinbase,157,1437,59.9,0.859,44.2,39.7,44.2,-0.725,10.9,-33.3,0.4,39.4,33.8,3.3,untested,blocked
GRT,bitget,CoinEx,164,1433,59.7,0.994,43.8,46.4,16.3,-0.324,10.9,-33.9,0.42,38.7,32.9,3.5,untested,blocked
H,GRVT,bitget,298,1437,59.9,0.71,43.6,44.3,0.0,-0.672,57.4,10.9,0.42,38.5,32.6,3.5,blocked,untested
BNB,bitget,Lighter,270,1417,59.0,0.776,43.5,27.8,0.4,0.428,10.6,-38.5,0.42,38.4,32.5,3.5,untested,blocked
BNB,dydx,HTX,1000,171,7.1,0.936,42.9,40.3,26.6,4.352,48.9,10.9,0.4,38.0,32.5,3.4,untested,reachable
CL,aster,Crypto.com,540,1421,59.2,0.639,42.8,134.9,-5.0,5.501,0.0,-43.8,0.38,38.2,32.9,3.2,untested,reachable
H,binance,Variational,298,801,33.4,0.96,42.7,35.8,13.8,-0.165,58.9,10.9,0.4,37.9,32.3,3.4,untested,blocked
BNB,dydx,Nado,1000,178,7.4,0.938,41.6,38.7,27.4,3.043,48.4,10.9,0.4,36.7,31.2,3.5,untested,reachable
HBAR,bitget,Extended,270,1001,41.7,0.873,41.6,32.1,28.8,-0.72,10.9,-30.7,0.42,36.5,30.7,3.7,untested,blocked
CHZ,aster,Kraken,912,1440,60.0,0.856,41.6,38.3,23.3,0.859,10.9,-30.6,0.38,37.0,31.7,3.3,untested,reachable
CBRS,bitget,tradeXYZ,270,1417,59.0,0.745,41.4,44.6,-0.3,1.191,0.0,-31.7,0.42,36.3,30.4,3.7,untested,blocked
BNB,dydx,BingX,1000,171,7.1,0.936,41.0,37.0,27.4,2.782,48.9,10.9,0.4,36.1,30.5,3.6,untested,reachable
XPD,bitget,KuCoin,297,1153,48.0,0.636,40.7,35.5,-10.9,-0.549,53.2,10.9,0.42,35.6,29.8,3.8,untested,reachable
ESP,bybit,Crypto.com,276,1437,59.9,0.689,40.6,25.0,-25.2,1.297,10.9,-57.9,0.41,35.6,29.9,3.7,untested,reachable
BNB,dydx,Extended,1000,178,7.4,0.916,39.8,37.0,24.2,0.523,48.4,11.4,0.4,34.9,29.4,3.7,untested,blocked
CASHCAT,aster,LBank,1321,787,32.8,0.584,39.8,86.7,-32.9,6.299,10.9,10.9,0.38,35.2,29.9,3.5,untested,blocked
WDC,edgeX,binance,161,425,17.7,0.784,39.6,21.4,4.8,0.858,39.6,0.0,0.4,34.8,29.2,3.7,blocked,untested
XPD,Crypto.com,binance,297,1437,59.9,0.843,39.5,46.5,5.0,0.825,55.7,0.0,0.4,34.6,29.0,3.7,reachable,untested
HOME,aster,LBank,1364,801,33.4,0.708,38.7,47.0,0.0,-0.937,-166.7,-227.7,0.38,34.0,28.8,3.6,untested,blocked
FARTCOIN,Backpack,binance,141,1437,59.9,0.809,38.3,38.2,38.3,-0.485,49.3,10.9,0.4,33.4,27.9,3.8,reachable,untested
BNB,dydx,edgeX,1000,175,7.3,0.937,38.0,44.4,22.1,3.001,48.7,10.9,0.4,33.1,27.6,3.8,untested,blocked
BTW,MEXC,bitget,533,1421,59.2,0.831,37.2,54.8,14.9,0.893,69.9,10.9,0.42,32.1,26.3,4.1,blocked,untested
AXS,GRVT,hl,697,1437,59.9,0.653,36.1,20.5,0.0,0.374,10.9,-25.1,0.39,31.3,25.9,3.9,blocked,untested
LTC,WhiteBIT,dydx,1000,171,7.1,0.667,35.2,31.5,-8.9,33.822,68.0,22.4,0.4,30.3,24.7,4.2,reachable,untested
ETHFI,okx,Orderly,171,1437,59.9,0.936,35.2,23.9,10.9,0.454,10.9,-24.3,0.4,30.3,24.8,4.1,untested,reachable
BTW,KuCoin,bitget,533,737,30.7,0.68,34.6,42.0,0.0,-1.897,72.3,25.6,0.42,29.5,23.7,4.4,reachable,untested
AVAX,bitget,Extended,270,1417,59.0,0.789,34.5,26.0,5.7,0.356,9.4,-31.5,0.42,29.4,23.5,4.4,untested,blocked
BNB,dydx,Bitunix,1000,171,7.1,0.877,34.2,29.1,18.9,2.313,48.9,10.9,0.4,29.3,23.8,4.3,untested,blocked
BNB,dydx,Bitunix,1000,171,7.1,0.877,34.2,29.1,18.9,2.313,48.9,10.9,0.4,29.3,23.8,4.3,untested,blocked
BNB,dydx,Bitunix,1000,171,7.1,0.877,34.2,29.1,18.9,2.313,48.9,10.9,0.4,29.3,23.8,4.3,untested,blocked
MANA,bitget,Crypto.com,139,1433,59.7,0.952,34.0,34.9,5.6,-0.409,10.9,-25.3,0.42,28.9,23.0,4.5,untested,reachable
AERO,okx,Bitunix,199,1437,59.9,0.683,33.9,19.9,0.0,0.398,-3.7,-37.6,0.4,29.0,23.5,4.3,untested,blocked
GRAM,aster,Backpack,1466,178,7.4,0.815,33.6,36.3,6.2,-8.135,10.9,-17.6,0.38,29.0,23.7,4.1,untested,reachable
APE,bitget,Kraken,112,1433,59.7,0.843,33.6,24.0,10.0,0.325,10.9,-22.7,0.42,28.5,22.7,4.6,untested,reachable
AVAX,bitget,Crypto.com,270,1417,59.0,0.91,33.2,27.4,21.8,0.085,9.4,-27.2,0.42,28.0,22.2,4.6,untested,reachable
HBAR,bitget,Variational,270,169,7.0,1.0,32.9,29.2,23.1,-1.584,10.9,-22.0,0.42,27.8,22.0,4.7,untested,blocked
AERO,okx,MEXC,199,1437,59.9,0.685,32.7,21.3,0.0,0.438,-3.7,-40.7,0.4,27.9,22.3,4.5,untested,blocked
CL,aster,Variational,540,785,32.7,0.638,32.3,23.6,0.0,-0.84,0.0,-32.3,0.38,27.7,22.4,4.3,untested,blocked
DOT,aster,MEXC,270,1417,59.0,0.865,32.3,22.0,7.1,0.227,10.9,-23.3,0.38,27.7,22.4,4.3,untested,blocked
CC,okx,Crypto.com,212,1437,59.9,0.842,32.3,38.1,21.5,0.982,10.9,-21.4,0.4,27.5,21.9,4.5,untested,reachable
BCH,hl,Crypto.com,589,1440,60.0,0.939,32.1,35.2,32.1,-0.627,10.9,-21.1,0.39,27.3,21.9,4.4,untested,reachable
LIT,hl,CoinEx,1000,260,10.8,0.892,31.8,33.9,10.9,-6.762,10.9,-12.6,0.39,27.1,21.6,4.5,untested,blocked
BOME,binance,CoinEx,214,1433,59.7,0.911,31.7,21.5,10.9,0.508,10.9,-20.7,0.4,26.8,21.3,4.6,untested,blocked
2Z,binance,KuCoin,157,1153,48.0,0.739,31.3,22.6,0.0,-0.114,10.9,-20.4,0.4,26.5,20.9,4.7,untested,reachable
MANA,bitget,Kraken,139,1433,59.7,0.696,31.3,25.2,-8.4,0.761,10.9,-23.6,0.42,26.2,20.3,4.9,untested,reachable
BOME,binance,Kraken,214,1437,59.9,0.916,31.2,43.6,31.2,-0.335,10.9,-20.2,0.4,26.3,20.8,4.7,untested,reachable
SNDK,Crypto.com,aster,54,176,7.3,0.869,30.8,43.2,5.0,5.105,41.9,0.0,0.38,26.1,20.9,4.5,reachable,untested
AKE,aster,BingX,1440,1437,59.9,0.768,30.8,55.3,2.2,-0.192,45.6,8.8,0.38,26.2,20.9,4.5,untested,reachable
CASHCAT,hl,edgeX,1097,1049,43.7,0.564,30.4,119.2,0.0,2.925,45.1,14.2,0.39,25.6,20.2,4.7,untested,blocked
GRAM,hl,edgeX,1464,1423,59.3,0.654,30.2,24.4,0.0,0.496,10.9,-19.2,0.39,25.4,20.0,4.7,untested,blocked
AAVE,dydx,Crypto.com,1000,178,7.4,0.91,30.1,33.3,11.9,-6.106,0.0,-30.1,0.4,25.3,19.7,4.8,untested,reachable
JTO,binance,Crypto.com,539,1421,59.2,0.983,30.0,34.8,21.3,-0.239,4.3,-19.1,0.4,25.2,19.6,4.9,untested,reachable
ENA,okx,Crypto.com,552,1421,59.2,0.915,29.9,23.5,17.2,-0.239,10.9,-19.0,0.4,25.1,19.5,4.9,untested,reachable
TBT,edgeX,binance,111,873,36.4,0.632,29.8,66.0,-33.6,-2.953,-5.3,0.0,0.4,24.9,19.3,4.9,blocked,untested
LYN,binance,KuCoin,360,1153,48.0,0.736,29.8,41.6,0.0,0.424,49.6,10.9,0.4,25.0,19.4,4.9,untested,reachable
GALA,aster,Kraken,145,1433,59.7,0.78,29.7,25.2,3.5,0.013,10.9,-18.8,0.38,25.1,19.8,4.7,untested,reachable
SHOP,binance,edgeX,48,353,14.7,0.603,29.6,20.3,-44.0,-0.841,0.0,-20.2,0.4,24.7,19.2,4.9,untested,blocked
0G,bitget,Lighter,540,1421,59.2,0.95,29.3,24.4,0.4,0.646,10.9,-23.7,0.42,24.2,18.4,5.2,untested,blocked
ATOM,aster,Coinbase,270,1417,59.0,0.827,29.3,20.2,5.7,0.066,10.9,-21.9,0.38,24.7,19.4,4.7,untested,blocked
JUP,dydx,Kraken,1000,178,7.4,0.798,29.2,25.0,7.2,8.065,0.0,-24.0,0.4,24.4,18.8,5.0,untested,reachable
XPT,okx,BingX,128,777,32.4,0.793,29.1,15.5,10.9,1.112,7.2,-21.9,0.4,24.2,18.6,5.0,untested,reachable
LTC,dydx,Variational,1000,171,7.1,1.0,29.0,38.9,19.1,2.854,22.4,-6.6,0.4,24.1,18.5,5.0,untested,blocked
CHZ,aster,LBank,912,801,33.4,0.758,29.0,20.5,2.9,-0.618,10.9,-18.0,0.38,24.4,19.1,4.8,untested,blocked
MANA,bitget,Variational,139,801,33.4,0.94,28.9,19.6,6.5,0.687,10.9,-18.0,0.42,23.8,18.0,5.3,untested,blocked
HYPE,dydx,Backpack,1000,178,7.4,0.77,28.7,31.2,2.6,1.209,0.0,-24.8,0.4,23.8,18.3,5.1,untested,reachable
AAVE,dydx,CoinEx,1000,171,7.1,0.953,28.4,27.0,19.0,3.486,0.0,-28.4,0.4,23.6,18.0,5.1,untested,blocked
CRV,aster,Variational,270,169,7.0,1.0,28.4,27.3,21.5,1.528,10.9,-17.4,0.38,23.8,18.5,4.9,untested,blocked
AKE,aster,Variational,1440,801,33.4,0.813,28.2,31.0,0.0,0.757,46.7,10.9,0.38,23.6,18.3,4.9,untested,blocked
TSM,binance,edgeX,120,1433,59.7,0.651,28.1,5.9,-35.3,0.756,0.0,-28.1,0.4,23.2,17.6,5.2,untested,blocked
LTC,dydx,Kraken,1000,178,7.4,0.876,28.0,29.7,10.4,1.976,22.1,2.5,0.4,23.2,17.6,5.2,untested,reachable
LTC,dydx,Kraken,1000,178,7.4,0.876,28.0,29.7,10.4,1.976,22.1,2.5,0.4,23.2,17.6,5.2,untested,reachable
LIT,hl,Orderly,1000,264,11.0,0.917,27.7,32.1,6.3,-3.023,10.9,-17.3,0.39,22.9,17.5,5.1,untested,reachable
JUP,dydx,CoinEx,1000,171,7.1,0.895,27.5,31.8,12.1,1.907,0.0,-16.8,0.4,22.7,17.1,5.3,untested,blocked
BTW,aster,BingX,2160,1423,59.3,0.67,27.3,41.3,-15.1,-0.456,95.2,51.9,0.38,22.6,17.4,5.1,untested,reachable
ICP,hl,Coinbase,686,1440,60.0,0.797,26.7,19.8,3.9,0.966,10.9,-15.8,0.39,22.0,16.6,5.3,untested,blocked
JUP,okx,Pacifica,130,1437,59.9,0.786,26.6,17.5,5.9,0.059,10.9,-15.7,0.4,21.7,16.2,5.5,untested,blocked
INJ,aster,Orderly,270,1417,59.0,0.954,26.4,21.5,13.2,-0.234,10.9,-23.8,0.38,21.8,16.5,5.3,untested,reachable
CHZ,aster,MEXC,912,1433,59.7,0.777,26.4,18.7,3.1,0.047,10.9,-18.0,0.38,21.8,16.5,5.3,untested,blocked
H,MEXC,bitget,298,1437,59.9,0.683,26.3,43.1,0.0,0.88,41.0,10.9,0.42,21.2,15.3,5.8,blocked,untested
APE,bitget,Bitfinex,112,801,33.4,1.0,26.1,25.1,26.1,-0.08,10.9,-15.1,0.42,21.0,15.1,5.9,untested,untested
