kind,check_name,coin,detail,entry_cost_pct,fee_bps,fill_id,fill_px,leg,long_venue,median_apr,notional_usd,pair,passed,pos_id,reason_close,reason_open,short_venue,side,simulated,size_usd,slip_bps,status,style,tid,ts,ts_close,ts_open,venue
tripwire,live-spread>=40%median,,live -9.2% vs median 13.5%,,,,,,,,,LINK nado->okx,0,,,,,,,,,,,30,2026-09-02T13:02:53Z,,,
tripwire,identity-marks,,short mid 520.6 vs long mid 519.6 dev 0.19%,,,,,,,,,XMR dydx->binance,1,,,,,,,,,,,31,2026-09-02T15:51:17Z,,,
tripwire,depth-25bps@size,,worst slip 119.5bps (sell 119.5/27.0 buy 0.1/0.1),,,,,,,,,XMR dydx->binance,0,,,,,,,,,,,32,2026-09-02T15:51:17Z,,,
tripwire,identity-marks,,short mid 0.4488 vs long mid 0.4495 dev 0.15%,,,,,,,,,BTW aster->bitget,1,,,,,,,,,,,33,2026-09-02T15:51:17Z,,,
tripwire,depth-25bps@size,,worst slip 11.8bps (sell 3.6/9.0 buy 9.1/11.8),,,,,,,,,BTW aster->bitget,1,,,,,,,,,,,34,2026-09-02T15:51:17Z,,,
tripwire,live-spread>=40%median,,live 22.0% vs median 86.6%,,,,,,,,,BTW aster->bitget,0,,,,,,,,,,,35,2026-09-02T15:51:17Z,,,
tripwire,duplicate,,already open,,,,,,,,,INJ bingx->okx,0,,,,,,,,,,,36,2026-09-02T15:51:17Z,,,
tripwire,identity-marks,,short mid 11.07 vs long mid 11.07 dev 0.03%,,,,,,,,,LINK nado->okx,1,,,,,,,,,,,37,2026-09-02T15:51:17Z,,,
tripwire,depth-25bps@size,,worst slip 0.5bps (sell 0.5/0.5 buy 0.5/0.5),,,,,,,,,LINK nado->okx,1,,,,,,,,,,,38,2026-09-02T15:51:17Z,,,
tripwire,live-spread>=40%median,,live 4.1% vs median 13.5%,,,,,,,,,LINK nado->okx,0,,,,,,,,,,,39,2026-09-02T15:51:17Z,,,
tripwire,identity-marks,,short mid 520.6 vs long mid 519.6 dev 0.19%,,,,,,,,,XMR dydx->binance,1,,,,,,,,,,,40,2026-09-02T15:54:04Z,,,
tripwire,depth-25bps@size,,worst slip 33.8bps (sell 33.8/25.8 buy 0.4/0.1),,,,,,,,,XMR dydx->binance,0,,,,,,,,,,,41,2026-09-02T15:54:04Z,,,
tripwire,identity-marks,,short mid 0.4503 vs long mid 0.4513 dev 0.23%,,,,,,,,,BTW aster->bitget,1,,,,,,,,,,,42,2026-09-02T15:54:04Z,,,
tripwire,depth-25bps@size,,worst slip 13.7bps (sell 1.5/12.6 buy 6.3/13.7),,,,,,,,,BTW aster->bitget,1,,,,,,,,,,,43,2026-09-02T15:54:04Z,,,
tripwire,live-spread>=40%median,,live 22.0% vs median 86.6%,,,,,,,,,BTW aster->bitget,0,,,,,,,,,,,44,2026-09-02T15:54:04Z,,,
tripwire,identity-marks,,short mid 0.5194 vs long mid 0.5189 dev 0.11%,,,,,,,,,UAI aster->binance,1,,,,,,,,,,,45,2026-09-02T15:54:04Z,,,
tripwire,depth-25bps@size,,worst slip 7.7bps (sell 7.7/7.7 buy 3.1/3.6),,,,,,,,,UAI aster->binance,1,,,,,,,,,,,46,2026-09-02T15:54:04Z,,,
tripwire,live-spread>=40%median,,live 46.3% vs median 48.7%,,,,,,,,,UAI aster->binance,1,,,,,,,,,,,47,2026-09-02T15:54:04Z,,,
tripwire,duplicate,,already open,,,,,,,,,INJ bingx->okx,0,,,,,,,,,,,48,2026-09-02T15:54:04Z,,,
tripwire,identity-marks,,short mid 11.07 vs long mid 11.07 dev 0.03%,,,,,,,,,LINK nado->okx,1,,,,,,,,,,,49,2026-09-02T15:54:04Z,,,
tripwire,depth-25bps@size,,worst slip 1.3bps (sell 0.5/0.6 buy 0.5/1.3),,,,,,,,,LINK nado->okx,1,,,,,,,,,,,50,2026-09-02T15:54:04Z,,,
tripwire,live-spread>=40%median,,live 4.1% vs median 13.5%,,,,,,,,,LINK nado->okx,0,,,,,,,,,,,51,2026-09-02T15:54:04Z,,,
tripwire,identity-marks,,short mid 515.8 vs long mid 515.1 dev 0.14%,,,,,,,,,XMR dydx->binance,1,,,,,,,,,,,52,2026-09-02T19:50:10Z,,,
tripwire,depth-25bps@size,,worst slip 167.8bps (sell 167.8/164.7 buy 0.1/1.3),,,,,,,,,XMR dydx->binance,0,,,,,,,,,,,53,2026-09-02T19:50:10Z,,,
tripwire,identity-marks,,short mid 0.5169 vs long mid 0.5177 dev 0.16%,,,,,,,,,BTW aster->bitget,1,,,,,,,,,,,54,2026-09-02T19:50:10Z,,,
tripwire,depth-25bps@size,,worst slip 8.4bps (sell 6.0/8.2 buy 8.4/6.5),,,,,,,,,BTW aster->bitget,1,,,,,,,,,,,55,2026-09-02T19:50:10Z,,,
tripwire,live-spread>=40%median,,live 0.0% vs median 86.6%,,,,,,,,,BTW aster->bitget,0,,,,,,,,,,,56,2026-09-02T19:50:10Z,,,
