venue,symbol,market,asset_class,mechanism,rate,interval_h,apr,oi_usd,stale,suspect
gate,CCL,CCL_USDT,equity,standard,0.0,8.0,0.0,12149.794800000001,False,False
gate,CCTC,CCTC_USDT,equity,standard,0.0,8.0,0.0,2713.0334000000003,False,False
gate,CEG,CEG_USDT,equity,standard,0.0,8.0,0.0,37032.66,False,False
bitget,CGNX,CGNXUSDT,equity,standard,0.0,8.0,0.0,24044.390800000005,False,False
gate,CGNX,CGNX_USDT,equity,standard,0.0,8.0,0.0,17599.206,False,False
okx,CGNX,CGNX-USDT-SWAP,equity,standard,0.0,8.0,0.0,27687.226,False,False
binance,CIEN,CIENUSDT,equity,standard,0.0,8.0,0.0,347128.7830316322,False,False
bitget,CIEN,CIENUSDT,equity,standard,0.0,8.0,0.0,105273.49079999993,False,False
bybit,CIEN,CIENUSDT,equity,standard,0.0,8.0,0.0,50073.254,False,False
gate,CIEN,CIEN_USDT,equity,standard,0.0,8.0,0.0,119802.22799999999,False,False
okx,CIEN,CIEN-USDT-SWAP,equity,standard,0.0,8.0,0.0,152986.86,False,False
paragon,CIEN,para:CIEN,equity,builder_set,7.5e-06,1.0,0.06570000000000001,17213.701934,False,False
bybit,CIFR,CIFRUSDT,equity,standard,0.0,8.0,0.0,26098.316300000002,False,False
gate,CIFR,CIFR_USDT,equity,standard,0.0,8.0,0.0,4823.4416,False,False
gate,CIG,CIG_USDT,equity,standard,0.0,8.0,0.0,6472.2,False,False
gate,CITIC,CITIC_USDT,equity,standard,0.0,8.0,0.0,3779.2128000000002,False,False
gate,CJS,CJS_USDT,equity,standard,0.0,8.0,0.0,7340.924,False,False
binance,CL,CLUSDT,commodity,standard,-0.00015839,4.0,-0.3468741,328825911.2866112,False,False
bitget,CL,CLUSDT,commodity,standard,-0.000243,4.0,-0.53217,47262256.24479998,False,False
hyperliquid,CL,xyz:CL,commodity,builder_set,-5.1149e-06,1.0,-0.044806524,208959386.40444997,False,False
ostium,CL,CL,commodity,funding_plus_borrow,0.0,1.0,0.0,92880.01366492687,False,True
pacifica,CL,CL,commodity,standard,1.25e-05,1.0,0.1095,426533.29702000006,False,False
gate,CLS,CLS_USDT,equity,standard,0.0,8.0,0.0,181091.32800000004,False,False
bybit,CLSK,CLSKUSDT,equity,standard,0.0,8.0,0.0,130993.42889999998,False,False
gate,CLSK,CLSK_USDT,equity,standard,0.0,8.0,0.0,2682.7320000000004,False,False
bitget,CMCSA,CMCSAUSDT,equity,standard,0.0,8.0,0.0,7559.670820000001,False,False
gate,CMCSA,CMCSA_USDT,equity,standard,0.0,8.0,0.0,5925.361800000001,False,False
gate,CMI,CMI_USDT,equity,standard,0.0,8.0,0.0,14715.536,False,False
gate,CMOC,CMOC_USDT,equity,standard,0.0,8.0,0.0,10619.287999999999,False,False
gate,COF,COF_USDT,equity,standard,0.0,8.0,0.0,3264.8974,False,False
aster,COHR,COHRUSDT,equity,standard,0.0,8.0,0.0,39263.3913740566,False,False
binance,COHR,COHRUSDT,equity,standard,0.0,8.0,0.0,8625519.568000002,False,False
bitget,COHR,COHRUSDT,equity,standard,0.0,8.0,0.0,2862557.0148000014,False,False
bybit,COHR,COHRUSDT,equity,standard,0.0,8.0,0.0,363232.2727,False,False
gate,COHR,COHR_USDT,equity,standard,0.0,8.0,0.0,328518.372,False,False
grvt,COHR,COHR_USDT_Perp,equity,standard,0.00023199999999999997,8.0,0.25404,1141.4982367255,False,False
okx,COHR,COHR-USDT-SWAP,equity,standard,0.0001620310406199,8.0,0.1774239894787905,1156718.112,False,False
paragon,COHR,para:COHR,equity,builder_set,7.5e-06,1.0,0.06570000000000001,921657.7158,False,False
apex,COIN,COIN-USDT,equity,standard,1.25e-05,1.0,0.1095,53824.992,False,False
aster,COIN,COINUSDT,equity,standard,0.0,8.0,0.0,748449.0086529367,False,False
avantis,COIN,COIN/USD,equity,funding_plus_borrow,0.0,1.0,0.0,1000.0,False,False
binance,COIN,COINUSDT,equity,standard,0.0,8.0,0.0,13298987.305797314,False,False
bitget,COIN,COINUSDT,equity,standard,0.000187,8.0,0.204765,6037507.321200002,False,False
bybit,COIN,COINUSDT,equity,standard,4.221e-05,8.0,0.046219949999999996,2351304.9748,False,False
gate,COIN,COIN_USDT,equity,standard,0.0,8.0,0.0,0.0,False,False
gate,COIN,COINX_USDT,equity,standard,0.0,8.0,0.0,2631582.72,False,False
grvt,COIN,COIN_USDT_Perp,equity,standard,6.4e-05,8.0,0.07008,14357.647663980808,False,False
hyperliquid,COIN,xyz:COIN,equity,builder_set,2.22312e-05,1.0,0.194745312,12172425.921179999,False,False
kraken,COIN,PF_COINXUSD,equity,standard,2.2289204738297587e-05,1.0,0.19525343350748686,130954.81728180523,False,False
lighter,COIN,COIN,equity,standard,3.2e-05,8.0,0.03504,278501.10645799997,False,False
okx,COIN,COIN-USDT-SWAP,equity,standard,0.0,8.0,0.0,3059880.5052,False,False
orderly,COIN,PERP_COIN_USDC_mythos,equity,standard,0.00010213,8.0,0.11183235,609.5076,False,False
ostium,COIN,COIN,equity,funding_plus_borrow,0.0,1.0,0.0,15719.97569951522,False,False
bitget,CONL,CONLUSDT,equity,standard,0.0,8.0,0.0,243843.75052999993,False,False
bitget,COP,COPUSDT,equity,standard,0.0,8.0,0.0,98373.77660000006,False,False
gate,COP,COP_USDT,equity,standard,0.0,8.0,0.0,21872.4656,False,False
binance,COPPER,COPPERUSDT,commodity,standard,0.0,4.0,0.0,10129974.66666234,False,False
bitget,COPPER,COPPERUSDT,commodity,standard,0.0,4.0,0.0,2602328.198399999,False,False
