coin,long,short,gross_apr,net7,net30,iv_short,iv_long,vol_min,flag
SHEIN,bitget,gate,0.3690,0.2543,0.3422,8,8,-1,
SHEIN,bitget,bybit,0.3701,0.2502,0.3421,8.0,8,-1,
TRX,bybit,gate,0.3666,0.2571,0.3411,8,8.0,-1,
PAYP,binance,gate,0.3626,0.2583,0.3382,8,8,-1,
TRX,hl,bybit,0.3581,0.2538,0.3338,8.0,1.0,-1,
DOT,binance,hl,0.3546,0.2555,0.3315,1.0,8,-1,
SOXL,binance,bybit,0.3563,0.2468,0.3307,8.0,8,-1,
DOT,binance,bitget,0.3546,0.2399,0.3278,8,8,-1,
DOT,binance,bybit,0.3450,0.2355,0.3195,8.0,8,-1,
KUAISHOU,bybit,binance,0.3361,0.2266,0.3105,8,8.0,-1,
INTC,bitget,binance,0.3295,0.2148,0.3028,8,8,-1,
MINIMAX,bybit,binance,0.3277,0.2182,0.3021,8,8.0,-1,
MINIMAX,bitget,binance,0.3277,0.2130,0.3009,8,8,-1,
POPMART,bybit,binance,0.3251,0.2156,0.2995,8,8.0,-1,
GMX,binance,hl,0.3207,0.2216,0.2975,1.0,8,-1,
GMX,binance,gate,0.3207,0.2164,0.2963,8,8,-1,
XMR,hl,gate,0.3154,0.2163,0.2922,8,1.0,-1,
XMR,bybit,gate,0.3154,0.2059,0.2898,8,8.0,-1,
XMR,bitget,gate,0.3154,0.2006,0.2886,8,8,-1,
LIT,bybit,hl,0.2972,0.1929,0.2728,1.0,4.0,-1,
ATOM,binance,hl,0.2956,0.1965,0.2724,1.0,8,-1,
LIT,bybit,binance,0.2972,0.1877,0.2716,4,4.0,-1,
LIT,bybit,bitget,0.2972,0.1773,0.2692,4,4.0,-1,
LPT,gate,binance,0.2935,0.1892,0.2691,4,8,-1,
LPT,gate,bybit,0.2935,0.1840,0.2679,4.0,8,-1,
SAMSUNGEM,binance,bybit,0.2796,0.1701,0.2541,8.0,8,-1,
ATOM,gate,hl,0.2705,0.1714,0.2473,1.0,8,-1,
SAMSUNGEM,binance,gate,0.2708,0.1666,0.2465,8,8,-1,
MRVL,bitget,binance,0.2708,0.1561,0.2440,8,8,-1,
XAG,binance,bybit,0.2671,0.1576,0.2416,4.0,4,-1,
MORPHO,bybit,binance,0.2629,0.1534,0.2374,4,4.0,-1,
XMR,binance,gate,0.2521,0.1478,0.2277,8,8,-1,
SUI,bybit,hl,0.2519,0.1477,0.2276,1.0,8.0,-1,
ARM,binance,bybit,0.2522,0.1427,0.2267,8.0,8,-1,
ZEN,bybit,hl,0.2509,0.1467,0.2266,1.0,8.0,-1,
MRVL,bitget,bybit,0.2530,0.1331,0.2250,8.0,8,-1,
UNITREE,bybit,gate,0.2485,0.1390,0.2230,8,8.0,-1,
TIA,gate,bybit,0.2478,0.1383,0.2223,4.0,8,-1,
SPCX,binance,gate,0.2464,0.1421,0.2221,8,8,-1,
CL,bitget,bybit,0.2499,0.1300,0.2219,8.0,4,-1,
HYPE,bitget,hl,0.2475,0.1380,0.2219,1.0,4,172021360.94379,
TBT,binance,gate,0.2459,0.1416,0.2215,8,8,-1,
HYPE,bitget,binance,0.2475,0.1328,0.2207,4,4,-1,
TBT,binance,bybit,0.2459,0.1364,0.2203,8.0,8,-1,
XAG,aster,bybit,0.2434,0.1443,0.2203,4.0,4,-1,
